"Date","P/E","P/B","Div Yield"
"01-Jan-2015","       21.16","        3.49","        1.27"
"02-Jan-2015","       21.45","        3.54","        1.26"
"05-Jan-2015","       21.40","        3.53","        1.26"
"06-Jan-2015","       20.76","        3.42","        1.30"
"07-Jan-2015","       20.70","        3.41","        1.30"
"08-Jan-2015","       21.04","        3.47","        1.28"
"09-Jan-2015","       21.16","        3.49","        1.27"
"12-Jan-2015","       21.27","        3.51","        1.27"
"13-Jan-2015","       21.21","        3.50","        1.27"
"14-Jan-2015","       21.14","        3.49","        1.27"
"15-Jan-2015","       21.70","        3.58","        1.24"
"16-Jan-2015","       21.75","        3.59","        1.24"
"19-Jan-2015","       21.80","        3.60","        1.23"
"20-Jan-2015","       22.16","        3.67","        1.21"
"21-Jan-2015","       22.21","        3.68","        1.21"
"22-Jan-2015","       22.25","        3.69","        1.20"
"23-Jan-2015","       22.48","        3.73","        1.19"
"27-Jan-2015","       22.67","        3.76","        1.18"
"28-Jan-2015","       22.67","        3.76","        1.18"
"29-Jan-2015","       22.84","        3.77","        1.18"
"30-Jan-2015","       22.48","        3.71","        1.20"
