"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"M&amp;M","10-Dec-2007","31-Jan-2008","781","788","775","783.7","788","783.7","9","21.92","9048","1560","        775.10"
"M&amp;M","10-Dec-2007","28-Feb-2008","0","0","0","800","800","789.75","0","0","312","0","        775.10"
"M&amp;M","11-Dec-2007","27-Dec-2007","795","795","774","790.95","792","790.95","1606","3941.8","1740024","-94848","        784.85"
"M&amp;M","11-Dec-2007","31-Jan-2008","793","797","780.1","792.65","797","792.65","13","31.97","10608","1560","        784.85"
"M&amp;M","11-Dec-2007","28-Feb-2008","0","0","0","800","800","799.8","0","0","312","0","        784.85"
"M&amp;M","12-Dec-2007","27-Dec-2007","780","800","780","796.45","798","796.45","1449","3576.46","1717872","-22152","        790.15"
"M&amp;M","12-Dec-2007","31-Jan-2008","800","808.85","785","800.45","801.25","800.45","19","47.19","14040","3432","        790.15"
"M&amp;M","12-Dec-2007","28-Feb-2008","0","0","0","800","800","804.7","0","0","312","0","        790.15"
"M&amp;M","13-Dec-2007","27-Dec-2007","810","821","793","797.15","798","797.15","3675","9296.67","1713816","-4056","        792.85"
"M&amp;M","13-Dec-2007","31-Jan-2008","818","820","800","802.1","800","802.1","26","65.93","16224","2184","        792.85"
"M&amp;M","13-Dec-2007","28-Feb-2008","0","0","0","800","800","807.5","0","0","312","0","        792.85"
"M&amp;M","14-Dec-2007","27-Dec-2007","800","804","777.1","799.9","798.5","799.9","2160","5343.85","1815840","102024","        791.05"
"M&amp;M","14-Dec-2007","31-Jan-2008","800.1","810","783.5","804.8","802.3","804.8","63","156.72","24336","8112","        791.05"
"M&amp;M","14-Dec-2007","28-Feb-2008","0","0","0","800","800","805.35","0","0","312","0","        791.05"
"M&amp;M","17-Dec-2007","27-Dec-2007","790","805","753.2","772.95","780.25","772.95","2610","6392.08","1725360","-90480","        767.60"
"M&amp;M","17-Dec-2007","31-Jan-2008","793","805","760","769.3","783","769.3","219","537.1","58968","34632","        767.60"
"M&amp;M","17-Dec-2007","28-Feb-2008","0","0","0","800","800","780.9","0","0","312","0","        767.60"
"M&amp;M","18-Dec-2007","27-Dec-2007","782","786","762.3","777","774.6","777","1480","3570.05","1668576","-56784","        772.05"
"M&amp;M","18-Dec-2007","31-Jan-2008","780","789.85","766","778.5","774.5","778.5","202","488.53","94536","35568","        772.05"
"M&amp;M","18-Dec-2007","28-Feb-2008","0","0","0","800","800","785.4","0","0","312","0","        772.05"
"M&amp;M","19-Dec-2007","27-Dec-2007","784","920.25","771.1","782.85","787.65","782.85","5184","12989.46","1528488","-140088","        776.15"
"M&amp;M","19-Dec-2007","31-Jan-2008","788.85","828","774","786.05","788.9","786.05","1302","3275.46","312312","217776","        776.15"
"M&amp;M","19-Dec-2007","28-Feb-2008","0","0","0","800","800","789.15","0","0","312","0","        776.15"
"M&amp;M","20-Dec-2007","27-Dec-2007","780","811.9","760","789.45","782.35","789.45","2866","7141.35","1315392","-213096","        784.55"
"M&amp;M","20-Dec-2007","31-Jan-2008","795.6","813","783.25","790.95","784.95","790.95","1132","2826.55","486408","174096","        784.55"
"M&amp;M","20-Dec-2007","28-Feb-2008","0","0","0","800","800","797.65","0","0","312","0","        784.55"
"M&amp;M","24-Dec-2007","27-Dec-2007","809","829","796","824.95","825","824.95","2583","6569.71","988416","-326976","        824.15"
"M&amp;M","24-Dec-2007","31-Jan-2008","808.8","834","800.1","830.1","828.95","830.1","1267","3238.24","613080","126672","        824.15"
"M&amp;M","24-Dec-2007","28-Feb-2008","0","0","0","800","800","837.2","0","0","312","0","        824.15"
"M&amp;M","26-Dec-2007","27-Dec-2007","834","855","834","839.75","838","839.75","2104","5542.83","769080","-219336","        833.90"
"M&amp;M","26-Dec-2007","31-Jan-2008","839","859.8","838.85","845.15","842","845.15","2125","5630.33","930696","317616","        833.90"
