,Date,Instrument,Symbol,Expiry_Date,Open_Price,High_Price,Low_Price,Close_Price,Daily_Settlement_Price,Open_Interest,No_of_Contracts,Turnover
0,2018-12-31,FUTBLN,SILVER,05-03-2019,38837.0,38859.0,38570.0,38826.0,38761.0,156,17,1.98
1,2018-12-28,FUTBLN,SILVER,05-03-2019,38709.0,38814.0,38700.0,38731.0,38621.0,159,15,1.74
2,2018-12-27,FUTBLN,SILVER,05-03-2019,38281.0,38676.0,38177.0,38676.0,38062.0,156,18,2.07
3,2018-12-26,FUTBLN,SILVER,05-03-2019,37674.0,37824.0,37674.0,37765.0,37607.0,153,24,2.72
4,2018-12-24,FUTBLN,SILVER,05-03-2019,37489.0,37550.0,37342.0,37452.0,37238.0,156,22,2.47
5,2018-12-21,FUTBLN,SILVER,05-03-2019,37407.0,37514.0,37318.0,37393.0,37216.0,159,22,2.47
6,2018-12-20,FUTBLN,SILVER,05-03-2019,37365.0,37506.0,37224.0,37495.0,37339.0,160,32,3.59
7,2018-12-19,FUTBLN,SILVER,05-03-2019,37374.0,37810.0,37374.0,37778.0,37461.0,151,56,6.31
8,2018-12-18,FUTBLN,SILVER,05-03-2019,38018.0,38018.0,37495.0,37685.0,37601.0,138,52,5.89
9,2018-12-17,FUTBLN,SILVER,05-03-2019,37976.0,38005.0,37944.0,38005.0,37867.0,133,35,3.99
10,2018-12-14,FUTBLN,SILVER,05-03-2019,38270.0,38270.0,37999.0,38129.0,38017.0,126,67,7.68
11,2018-12-13,FUTBLN,SILVER,05-03-2019,38385.0,38502.0,38228.0,38300.0,38180.0,133,59,6.79
12,2018-12-13,FUTBLN,SILVER,03-05-2019,38900.0,38900.0,38883.0,38899.0,38644.0,1,3,0.35
13,2018-12-12,FUTBLN,SILVER,05-03-2019,38265.0,38609.0,38185.0,38609.0,38609.0,133,86,9.89
14,2018-12-11,FUTBLN,SILVER,05-03-2019,38357.0,38612.0,38089.0,38236.0,38033.0,133,73,8.39
15,2018-12-10,FUTBLN,SILVER,05-03-2019,37972.0,38434.0,37705.0,38377.0,37649.0,133,226,25.72
16,2018-12-07,FUTBLN,SILVER,05-03-2019,37270.0,37619.0,37195.0,37619.0,37218.0,92,71,7.95
17,2018-12-06,FUTBLN,SILVER,05-03-2019,37440.0,37440.0,37091.0,37230.0,37230.0,82,55,6.14
18,2018-12-05,FUTBLN,SILVER,05-03-2019,37120.0,37395.0,37120.0,37395.0,37395.0,82,139,15.53
19,2018-12-04,FUTBLN,SILVER,05-03-2019,37210.0,37554.0,37210.0,37554.0,37384.0,82,39,4.38
20,2018-12-03,FUTBLN,SILVER,05-03-2019,36614.0,37360.0,36540.0,37224.0,36796.0,82,130,14.43
21,2018-11-30,FUTBLN,SILVER,05-12-2018,35555.0,35555.0,35450.0,35460.0,35544.0,96,14,1.49
22,2018-11-30,FUTBLN,SILVER,05-03-2019,36525.0,36568.0,35910.0,35976.0,36209.0,82,82,8.89
23,2018-11-29,FUTBLN,SILVER,05-12-2018,35908.0,35908.0,35624.0,35630.0,35892.0,96,65,6.96
24,2018-11-29,FUTBLN,SILVER,05-03-2019,36782.0,36782.0,36530.0,36604.0,36565.0,82,59,6.49
25,2018-11-28,FUTBLN,SILVER,05-12-2018,35790.0,35830.0,35692.0,35819.0,35778.0,99,44,4.72
26,2018-11-28,FUTBLN,SILVER,05-03-2019,36660.0,37029.0,36545.0,36898.0,36452.0,79,52,5.73
27,2018-11-27,FUTBLN,SILVER,05-12-2018,36072.0,36098.0,36010.0,36098.0,36156.0,103,11,1.19
28,2018-11-27,FUTBLN,SILVER,05-03-2019,36902.0,36996.0,36709.0,36709.0,36838.0,75,32,3.54
29,2018-11-26,FUTBLN,SILVER,05-12-2018,36160.0,36386.0,36160.0,36201.0,36424.0,108,17,1.85
30,2018-11-26,FUTBLN,SILVER,05-03-2019,37234.0,37285.0,37018.0,37018.0,37113.0,70,16,1.78
31,2018-11-23,FUTBLN,SILVER,05-12-2018,36082.0,36092.0,36010.0,36014.0,36929.0,112,15,1.62
32,2018-11-23,FUTBLN,SILVER,05-03-2019,36980.0,36980.0,36853.0,36920.0,37630.0,70,16,1.77
33,2018-11-22,FUTBLN,SILVER,05-12-2018,36933.0,36935.0,36666.0,36680.0,36936.0,112,25,2.76
34,2018-11-22,FUTBLN,SILVER,05-03-2019,37746.0,37851.0,37570.0,37571.0,37638.0,70,74,8.39
35,2018-11-21,FUTBLN,SILVER,05-12-2018,36575.0,36764.0,36572.0,36741.0,36785.0,110,15,1.65
36,2018-11-21,FUTBLN,SILVER,05-03-2019,37640.0,37640.0,37640.0,37640.0,37482.0,2,2,0.23
37,2018-11-20,FUTBLN,SILVER,05-12-2018,36743.0,36931.0,36743.0,36926.0,36812.0,105,25,2.76
38,2018-11-19,FUTBLN,SILVER,05-12-2018,37025.0,37030.0,36805.0,36805.0,36898.0,100,10,1.11
39,2018-11-16,FUTBLN,SILVER,05-12-2018,36840.0,37099.0,36705.0,36995.0,36867.0,102,19,2.1
40,2018-11-15,FUTBLN,SILVER,05-12-2018,36611.0,36721.0,36455.0,36457.0,36613.0,109,8,0.88
41,2018-11-14,FUTBLN,SILVER,05-12-2018,36261.0,36399.0,36110.0,36397.0,36238.0,111,32,3.48
42,2018-11-13,FUTBLN,SILVER,05-12-2018,36634.0,36752.0,36407.0,36407.0,36407.0,117,57,6.26
43,2018-11-12,FUTBLN,SILVER,05-12-2018,37046.0,37132.0,36855.0,36855.0,37143.0,116,55,6.11
44,2018-11-09,FUTBLN,SILVER,05-12-2018,37580.0,37580.0,36880.0,36880.0,38388.0,118,19,2.12
45,2018-11-08,FUTBLN,SILVER,05-12-2018,37713.0,37740.0,37388.0,37501.0,38395.0,114,14,1.58
46,2018-11-07,FUTBLN,SILVER,05-12-2018,38158.0,38274.0,38158.0,38248.0,38248.0,114,18,2.06
47,2018-11-06,FUTBLN,SILVER,05-12-2018,38413.0,38521.0,38260.0,38260.0,38410.0,114,80,9.23
48,2018-11-05,FUTBLN,SILVER,05-12-2018,38538.0,38707.0,38538.0,38617.0,38593.0,98,66,7.65
