,Date,Instrument,Symbol,Expiry_Date,Open_Price,High_Price,Low_Price,Close_Price,Daily_Settlement_Price,Open_Interest,No_of_Contracts,Turnover
0,2019-12-30,FUTENR,BRCRUDEM,30-12-2019,4879.0,4890.0,4879.0,4880.0,4874.0,47,14,0.07
1,2019-12-27,FUTENR,BRCRUDEM,30-12-2019,4856.0,4862.0,4842.0,4842.0,4856.0,53,22,0.11
2,2019-12-26,FUTENR,BRCRUDEM,30-12-2019,4801.0,4802.0,4801.0,4801.0,4719.0,50,7,0.03
3,2019-12-24,FUTENR,BRCRUDEM,30-12-2019,4732.0,4750.0,4732.0,4750.0,4721.0,49,9,0.04
4,2019-12-23,FUTENR,BRCRUDEM,30-12-2019,4687.0,4700.0,4686.0,4700.0,4718.0,52,11,0.05
5,2019-12-18,FUTENR,BRCRUDEM,30-12-2019,4672.0,4690.0,4659.0,4665.0,4694.0,53,217,1.01
6,2019-12-17,FUTENR,BRCRUDEM,30-12-2019,4632.0,4702.0,4625.0,4684.0,4668.0,35,553,2.57
7,2019-12-16,FUTENR,BRCRUDEM,30-12-2019,4597.0,4665.0,4596.0,4665.0,4665.0,41,398,1.84
8,2019-12-13,FUTENR,BRCRUDEM,30-12-2019,4567.0,4616.0,4558.0,4605.0,4618.0,38,363,1.67
9,2019-12-12,FUTENR,BRCRUDEM,30-12-2019,4527.0,4580.0,4515.0,4548.0,4566.0,33,340,1.54
10,2019-12-11,FUTENR,BRCRUDEM,30-12-2019,4530.0,4550.0,4521.0,4533.0,4554.0,27,251,1.14
11,2019-12-10,FUTENR,BRCRUDEM,30-12-2019,4549.0,4566.0,4530.0,4566.0,4564.0,24,250,1.14
12,2019-12-09,FUTENR,BRCRUDEM,30-12-2019,4563.0,4582.0,4520.0,4567.0,4559.0,19,341,1.55
13,2019-12-06,FUTENR,BRCRUDEM,30-12-2019,4500.0,4604.0,4486.0,4565.0,4541.0,20,355,1.61
14,2019-12-05,FUTENR,BRCRUDEM,30-12-2019,4503.0,4545.0,4492.0,4538.0,4561.0,5,272,1.23
15,2019-12-04,FUTENR,BRCRUDEM,30-12-2019,4398.0,4522.0,4395.0,4518.0,4474.0,7,272,1.21
16,2019-12-03,FUTENR,BRCRUDEM,30-12-2019,4375.0,4394.0,4331.0,4360.0,4382.0,9,286,1.25
