Date,Price,Open,High,Low,Volume,ChgPct
Mar 27 2020,19778.65,20251.00,21272.80,19350.35,6.84M,0.84
Mar 26 2020,19613.90,18700.00,20279.80,18335.50,5.25M,6.10
Mar 25 2020,18487.00,16799.95,18735.55,16600.25,4.63M,9.20
Mar 24 2020,16929.75,17550.00,17949.95,16020.55,6.06M,0.29
Mar 23 2020,16881.05,18264.95,19200.00,16741.50,3.97M,-16.82
Mar 20 2020,20294.35,19959.95,20933.00,19217.75,8.34M,1.33
Mar 19 2020,20028.50,19499.00,20971.15,18787.65,8.28M,-2.39
Mar 18 2020,20517.95,22198.95,22351.00,20150.00,7.03M,-6.89
Mar 17 2020,22037.05,23193.30,23448.00,21840.00,5.79M,-4.02
Mar 16 2020,22960.75,24311.30,24434.00,22766.25,5.40M,-8.26
Mar 13 2020,25028.90,22600.00,25591.90,21000.00,8.33M,4.96
Mar 12 2020,23845.05,25190.00,25344.00,23381.00,8.40M,-9.99
Mar 11 2020,26490.40,26349.95,26818.00,26215.45,5.64M,-0.13
Mar 09 2020,26525.75,27111.10,27244.00,25935.05,6.21M,-4.53
Mar 06 2020,27782.95,27710.15,28063.65,27280.00,5.45M,-3.63
Mar 05 2020,28829.30,28839.95,29180.00,28547.05,5.60M,0.27
Mar 04 2020,28753.00,29115.00,29299.90,28158.30,5.75M,-1.61
Mar 03 2020,29223.75,29080.00,29328.20,28752.60,5.22M,1.17
Mar 02 2020,28885.15,29355.55,29648.00,28600.05,4.92M,-0.58
Feb 28 2020,29053.90,29625.00,29665.25,28970.15,4.56M,-3.75
Feb 27 2020,30187.00,30265.00,30265.00,29951.15,3.17M,-0.42
Feb 26 2020,30315.50,30230.00,30517.10,30125.50,3.09M,-0.50
Feb 25 2020,30467.90,30500.05,30633.35,30351.50,2.93M,0.15
Feb 24 2020,30423.00,30615.00,30688.80,30393.35,3.12M,-1.67
Feb 20 2020,30938.70,30784.00,31098.40,30698.60,3.12M,0.27
Feb 19 2020,30856.40,30875.00,30940.00,30652.00,2.79M,0.90
Feb 18 2020,30581.40,30655.85,30707.15,30282.55,3.22M,-0.63
Feb 17 2020,30776.35,30894.25,31014.90,30640.00,2.58M,-0.41
Feb 14 2020,30902.10,31280.00,31470.85,30774.50,4.04M,-1.05
Feb 13 2020,31231.35,31565.10,31626.70,31188.85,2.44M,-1.06
Feb 12 2020,31566.90,31516.50,31619.80,31458.40,2.22M,0.59
Feb 11 2020,31383.30,31271.50,31516.40,31265.00,2.49M,0.88
Feb 10 2020,31109.85,31215.20,31259.85,31003.90,2.25M,-0.42
Feb 07 2020,31240.40,31339.90,31363.85,31110.05,2.83M,-0.30
Feb 06 2020,31332.85,31200.00,31530.90,30956.65,4.33M,0.91
Feb 05 2020,31050.35,30760.05,31116.60,30631.20,3.67M,1.08
Feb 04 2020,30718.45,30300.00,30798.80,30191.05,4.40M,2.29
Feb 03 2020,30032.15,29729.90,30110.00,29530.00,4.19M,0.84
Feb 01 2020,29782.55,30710.60,30990.00,29777.00,5.83M,-3.73
Jan 31 2020,30937.30,30940.00,31125.70,30780.50,4.20M,0.95
Jan 30 2020,30647.40,31280.00,31280.00,30513.45,2.96M,-0.84
Jan 29 2020,30905.55,30960.00,31109.05,30866.00,3.04M,0.44
Jan 28 2020,30771.60,30929.95,31070.00,30675.15,3.53M,-0.35
Jan 27 2020,30879.05,31050.10,31239.90,30850.00,3.38M,-1.44
Jan 24 2020,31330.35,31100.55,31438.00,30924.00,3.28M,0.77
Jan 23 2020,31090.10,30800.00,31170.00,30680.00,3.74M,0.93
Jan 22 2020,30802.85,31150.00,31230.00,30705.00,3.38M,-0.77
Jan 21 2020,31042.80,31049.90,31200.00,30920.95,3.27M,-0.45
Jan 20 2020,31181.85,31997.65,31997.65,31126.10,3.66M,-1.71
Jan 17 2020,31723.75,31660.25,31874.30,31540.00,2.93M,-0.66
Jan 16 2020,31935.70,31900.00,32054.05,31744.95,2.88M,-0.03
Jan 15 2020,31943.85,32089.00,32105.50,31765.80,2.99M,-0.70
Jan 14 2020,32169.05,32240.00,32260.00,32031.80,2.61M,-0.23
Jan 13 2020,32242.25,32159.65,32380.00,32123.75,2.43M,0.37
Jan 10 2020,32122.75,32263.95,32384.95,31980.00,3.57M,-0.09
Jan 09 2020,32152.65,31801.00,32200.00,31760.15,3.86M,2.25
Jan 08 2020,31444.05,31185.00,31541.20,30971.80,4.56M,-0.15
Jan 07 2020,31492.80,31551.10,31915.80,31200.00,4.76M,0.42
Jan 06 2020,31362.05,32000.00,32023.85,31286.00,3.96M,-2.48
Jan 03 2020,32161.20,32445.50,32489.05,32060.20,3.22M,-1.28
Jan 02 2020,32579.15,32299.00,32606.05,32281.55,2.66M,0.91
Jan 01 2020,32285.20,32417.30,32495.75,32225.00,1.92M,-0.25
Dec 31 2019,32366.05,32478.70,32521.90,32320.00,2.33M,-0.58
Dec 30 2019,32554.05,32632.45,32773.85,32431.00,2.57M,-0.16
Dec 27 2019,32604.70,32250.10,32633.75,32246.50,2.51M,1.90
Dec 26 2019,31997.70,32269.95,32339.00,31945.00,2.34M,-0.96
Dec 24 2019,32307.75,32304.95,32384.00,32270.45,1.58M,-0.07
Dec 23 2019,32329.40,32349.95,32425.00,32220.00,1.98M,-0.15
Dec 20 2019,32378.40,32227.00,32440.00,32180.00,1.97M,0.37
Dec 19 2019,32260.40,32300.00,32345.40,32123.35,2.14M,-0.06
Dec 18 2019,32279.30,32310.05,32343.95,32055.00,2.31M,0.23
Dec 17 2019,32206.35,32100.10,32285.00,32055.05,2.11M,0.61
Dec 16 2019,32010.30,32197.65,32205.00,31848.15,2.31M,-0.29
Dec 13 2019,32102.70,31860.45,32230.00,31805.35,2.96M,1.22
Dec 12 2019,31717.00,31406.30,31745.00,31405.00,2.91M,1.29
Dec 11 2019,31314.25,31208.30,31395.75,31065.30,2.97M,0.28
Dec 10 2019,31226.55,31440.10,31445.00,31188.35,2.68M,-0.54
Dec 09 2019,31397.65,31374.90,31612.10,31201.00,3.03M,-0.07
Dec 06 2019,31418.30,31799.95,31925.00,31323.00,3.85M,-1.08
Dec 05 2019,31762.50,32110.00,32179.95,31705.00,4.11M,-0.99
Dec 04 2019,32080.90,31624.95,32125.00,31511.25,4.10M,1.17
Dec 03 2019,31711.20,31949.90,31949.90,31580.60,2.46M,-0.66
Dec 02 2019,31921.35,32079.95,32080.00,31762.30,2.45M,-0.26
Nov 29 2019,32003.85,32100.50,32148.00,31820.00,2.79M,-0.37
Nov 28 2019,32122.95,31874.25,32143.30,31874.25,2.71M,0.79
Nov 27 2019,31872.35,31738.60,31898.00,31705.00,2.34M,0.71
Nov 26 2019,31648.90,31620.10,31791.85,31411.00,3.15M,0.26
Nov 25 2019,31568.25,31080.10,31590.00,31049.05,2.99M,1.46
Nov 22 2019,31114.70,31248.20,31329.70,31023.35,2.77M,-0.65
Nov 21 2019,31316.75,31299.95,31444.90,31223.60,2.68M,-0.01
Nov 20 2019,31321.25,31350.00,31434.40,31184.55,2.81M,0.20
Nov 19 2019,31259.65,31059.95,31315.85,30950.00,3.22M,0.78
Nov 18 2019,31017.85,31152.00,31182.00,30900.10,2.61M,-0.11
Nov 15 2019,31052.20,30902.20,31185.00,30859.60,4.02M,0.92
Nov 14 2019,30770.55,30580.00,30830.00,30361.35,4.29M,0.60
Nov 13 2019,30585.60,31083.95,31167.25,30538.80,4.09M,-1.65
Nov 11 2019,31097.80,30700.00,31222.85,30610.05,3.37M,1.10
Nov 08 2019,30759.00,30630.00,31099.00,30493.55,4.72M,0.31
Nov 07 2019,30664.35,30801.00,30848.95,30463.00,3.95M,-0.06
Nov 06 2019,30682.60,30260.30,30780.00,30052.00,4.68M,1.28
Nov 05 2019,30294.15,30420.05,30519.90,30155.10,3.41M,-0.34
Nov 04 2019,30396.05,30457.95,30658.00,30267.00,3.45M,0.07
Nov 01 2019,30374.10,30200.05,30449.45,30063.10,3.29M,1.02
Oct 31 2019,30066.25,30100.15,30399.10,29752.25,3.52M,0.27
Oct 30 2019,29986.45,30015.40,30151.40,29740.05,3.62M,0.29
Oct 29 2019,29900.45,29550.40,30040.00,29355.10,3.68M,1.03
Oct 27 2019,29595.95,29701.55,29764.90,29591.75,71.18K,0.56
Oct 25 2019,29431.85,29280.10,29480.00,28912.60,4.55M,0.86
Oct 24 2019,29180.50,29625.00,29742.55,29020.95,5.38M,-1.06
Oct 23 2019,29494.50,29400.00,29725.00,29122.00,4.05M,0.01
Oct 22 2019,29492.50,29397.00,29747.00,28851.40,4.37M,1.17
Oct 18 2019,29152.35,29029.60,29299.95,28903.05,3.85M,0.25
Oct 17 2019,29079.65,28530.50,29150.00,28530.50,4.64M,1.66
Oct 16 2019,28604.75,28720.25,28807.00,28321.15,4.42M,-0.05
Oct 15 2019,28618.65,28300.00,28775.00,28251.00,4.26M,1.45
Oct 14 2019,28209.80,28317.95,28790.00,28082.85,4.68M,0.25
Oct 11 2019,28138.60,28300.00,28723.00,27805.00,6.03M,0.11
Oct 10 2019,28106.60,28690.00,28690.00,27980.00,4.93M,-2.66
Oct 09 2019,28874.05,27870.00,28989.95,27774.00,5.90M,3.60
Oct 07 2019,27871.55,27950.00,28277.00,27652.20,4.30M,0.06
Oct 04 2019,27853.75,28801.05,28860.00,27778.00,5.84M,-2.51
Oct 03 2019,28570.85,28655.10,28919.80,28368.60,4.96M,-1.05
Oct 01 2019,28874.65,29440.00,29724.00,28218.00,7.32M,-1.53
Sep 30 2019,29324.70,29890.05,29955.60,29103.50,4.88M,-2.51
Sep 27 2019,30080.90,30201.00,30340.00,29882.95,3.92M,0.26
Sep 26 2019,30002.60,29678.65,30974.80,29676.40,6.15M,1.23
Sep 25 2019,29637.65,30073.95,30080.90,29511.00,3.98M,-2.02
Sep 24 2019,30250.15,30514.00,30674.95,29923.25,5.19M,-0.95
Sep 23 2019,30539.35,29996.50,30734.95,29591.00,7.17M,5.34
Sep 20 2019,28989.95,26859.95,29424.95,26750.60,11.30M,8.24
Sep 19 2019,26781.85,27175.00,27175.85,26683.10,3.86M,-1.51
Sep 18 2019,27193.05,27325.05,27470.00,27127.15,3.98M,0.19
Sep 17 2019,27140.15,27799.90,27882.00,27079.00,4.70M,-2.69
Sep 16 2019,27889.90,27801.55,28095.00,27801.55,3.78M,-0.97
Sep 13 2019,28163.85,27749.95,28200.00,27585.40,4.23M,1.22
Sep 12 2019,27824.45,27855.65,28094.90,27770.50,3.49M,-0.02
Sep 11 2019,27830.20,27660.55,27897.00,27594.40,2.79M,1.01
Sep 09 2019,27551.35,27200.00,27609.00,27035.00,3.35M,0.90
Sep 06 2019,27306.00,27025.05,27398.00,27025.05,3.32M,1.16
Sep 05 2019,26994.15,27160.05,27335.00,26862.05,4.22M,-0.83
Sep 04 2019,27219.25,26824.35,27380.90,26712.00,4.51M,1.29
Sep 03 2019,26873.50,27321.05,27333.00,26802.00,3.54M,-2.35
Aug 30 2019,27520.90,27501.15,27686.00,27151.50,4.63M,0.79
Aug 29 2019,27305.20,27749.90,27750.00,27240.00,4.13M,-1.91
Aug 28 2019,27837.65,28085.25,28118.15,27621.05,3.47M,-0.99
Aug 27 2019,28116.50,28090.00,28245.85,27917.00,3.98M,0.70
Aug 26 2019,27921.50,27624.40,27985.00,26822.00,6.38M,3.35
Aug 23 2019,27016.00,26895.00,27250.00,26615.60,4.82M,-0.02
Aug 22 2019,27021.80,27715.00,27746.05,26971.00,3.66M,-2.59
Aug 21 2019,27739.80,28050.30,28129.95,27668.20,3.27M,-0.91
Aug 20 2019,27995.05,28220.25,28220.40,27822.00,3.19M,-0.74
Aug 19 2019,28203.00,28335.10,28485.30,28122.05,2.86M,-0.20
Aug 16 2019,28260.55,27950.00,28310.00,27750.00,3.20M,0.95
Aug 14 2019,27994.30,27850.15,28149.00,27759.00,3.10M,0.92
