"Trade Date","Instrument","Symbol","Expiry Date","Open Price","High Price","Low Price","Close Price","Daily Settlement Price","Open Interest(OI)","No. of Contracts","Turnover ( Rs.)"
"26-Aug-2019","FUTBLN","SILVER","05-09-2019","   45005.00","   45005.00","   45005.00","   45005.00","   44961.00","                5","               1","             0.14"
"21-Aug-2019","FUTBLN","SILVER","05-09-2019","   43782.00","   43782.00","   43780.00","   43780.00","   43763.00","                4","               2","             0.26"
"20-Aug-2019","FUTBLN","SILVER","05-09-2019","   43606.00","   43606.00","   43606.00","   43606.00","   43674.00","                2","               1","             0.13"
"16-Aug-2019","FUTBLN","SILVER","05-09-2019","   43694.00","   43694.00","   43694.00","   43694.00","   43689.00","                1","               1","             0.13"
"24-Jun-2019","FUTBLN","SILVER","05-07-2019","   38045.00","   38140.00","   38045.00","   38140.00","   38006.00","                0","               4","             0.46"
"20-Jun-2019","FUTBLN","SILVER","05-07-2019","   38135.00","   38135.00","   38013.00","   38013.00","   38077.00","                0","               2","             0.23"
"19-Jun-2019","FUTBLN","SILVER","05-07-2019","   37323.00","   37326.00","   37323.00","   37326.00","   37232.00","                0","               2","             0.22"
"17-Jun-2019","FUTBLN","SILVER","05-07-2019","   36971.00","   36971.00","   36950.00","   36950.00","   36961.00","                0","               2","             0.22"
"14-Jun-2019","FUTBLN","SILVER","05-07-2019","   37199.00","   37206.00","   37199.00","   37206.00","   37415.00","                0","               2","             0.22"
"13-Jun-2019","FUTBLN","SILVER","05-07-2019","   36908.00","   36908.00","   36887.00","   36887.00","   36784.00","                0","               2","             0.22"
"22-May-2019","FUTBLN","SILVER","05-07-2019","   36241.00","   36241.00","   36200.00","   36200.00","   36423.00","                0","               2","             0.22"
"21-May-2019","FUTBLN","SILVER","05-07-2019","   36291.00","   36291.00","   36291.00","   36291.00","   36370.00","                0","               1","             0.11"
"16-May-2019","FUTBLN","SILVER","05-07-2019","   37510.00","   37510.00","   37510.00","   37510.00","   37345.00","                1","               1","             0.11"
"15-May-2019","FUTBLN","SILVER","05-07-2019","   37521.00","   37521.00","   37521.00","   37521.00","   37636.00","                2","               1","             0.11"
"14-May-2019","FUTBLN","SILVER","05-07-2019","   37714.00","   37720.00","   37534.00","   37534.00","   37564.00","                1","               3","             0.34"
"13-May-2019","FUTBLN","SILVER","05-07-2019","   37290.00","   37290.00","   37290.00","   37290.00","   37312.00","                4","               1","             0.11"
"08-May-2019","FUTBLN","SILVER","05-07-2019","   37538.00","   37538.00","   37438.00","   37438.00","   37596.00","                3","               5","             0.56"
"03-May-2019","FUTBLN","SILVER","03-05-2019","   36750.00","   36750.00","   36750.00","   36750.00","   36766.00","               12","               1","             0.11"
"30-Apr-2019","FUTBLN","SILVER","03-05-2019","   37333.00","   37333.00","   37173.00","   37179.00","   37337.00","               13","              33","             3.69"
"26-Apr-2019","FUTBLN","SILVER","03-05-2019","   37601.00","   37664.00","   37344.00","   37355.00","   37618.00","               40","               9","             1.01"
"25-Apr-2019","FUTBLN","SILVER","03-05-2019","   37284.00","   37442.00","   37284.00","   37322.00","   37431.00","               40","               7","             0.78"
"24-Apr-2019","FUTBLN","SILVER","03-05-2019","   37008.00","   37188.00","   37008.00","   37188.00","   37101.00","               40","               5","             0.56"
"23-Apr-2019","FUTBLN","SILVER","03-05-2019","   37103.00","   37103.00","   36982.00","   36982.00","   37375.00","               42","               2","             0.22"
"18-Apr-2019","FUTBLN","SILVER","03-05-2019","   37224.00","   37224.00","   37198.00","   37198.00","   37334.00","               41","               2","             0.22"
"17-Apr-2019","FUTBLN","SILVER","03-05-2019","   37402.00","   37402.00","   37402.00","   37402.00","   37286.00","               41","               1","             0.11"
