"Trade Date","Instrument","Symbol","Expiry Date","Open Price","High Price","Low Price","Close Price","Daily Settlement Price","Open Interest(OI)","No. of Contracts","Turnover ( Rs.)"
"31-Dec-2018","FUTBLN","SILVER","05-03-2019","   38837.00","   38859.00","   38570.00","   38826.00","   38761.00","              156","              17","             1.98"
"28-Dec-2018","FUTBLN","SILVER","05-03-2019","   38709.00","   38814.00","   38700.00","   38731.00","   38621.00","              159","              15","             1.74"
"27-Dec-2018","FUTBLN","SILVER","05-03-2019","   38281.00","   38676.00","   38177.00","   38676.00","   38062.00","              156","              18","             2.07"
"26-Dec-2018","FUTBLN","SILVER","05-03-2019","   37674.00","   37824.00","   37674.00","   37765.00","   37607.00","              153","              24","             2.72"
"24-Dec-2018","FUTBLN","SILVER","05-03-2019","   37489.00","   37550.00","   37342.00","   37452.00","   37238.00","              156","              22","             2.47"
"21-Dec-2018","FUTBLN","SILVER","05-03-2019","   37407.00","   37514.00","   37318.00","   37393.00","   37216.00","              159","              22","             2.47"
"20-Dec-2018","FUTBLN","SILVER","05-03-2019","   37365.00","   37506.00","   37224.00","   37495.00","   37339.00","              160","              32","             3.59"
"19-Dec-2018","FUTBLN","SILVER","05-03-2019","   37374.00","   37810.00","   37374.00","   37778.00","   37461.00","              151","              56","             6.31"
"18-Dec-2018","FUTBLN","SILVER","05-03-2019","   38018.00","   38018.00","   37495.00","   37685.00","   37601.00","              138","              52","             5.89"
"17-Dec-2018","FUTBLN","SILVER","05-03-2019","   37976.00","   38005.00","   37944.00","   38005.00","   37867.00","              133","              35","             3.99"
"14-Dec-2018","FUTBLN","SILVER","05-03-2019","   38270.00","   38270.00","   37999.00","   38129.00","   38017.00","              126","              67","             7.68"
"13-Dec-2018","FUTBLN","SILVER","05-03-2019","   38385.00","   38502.00","   38228.00","   38300.00","   38180.00","              133","              59","             6.79"
"13-Dec-2018","FUTBLN","SILVER","03-05-2019","   38900.00","   38900.00","   38883.00","   38899.00","   38644.00","                1","               3","             0.35"
"12-Dec-2018","FUTBLN","SILVER","05-03-2019","   38265.00","   38609.00","   38185.00","   38609.00","   38609.00","              133","              86","             9.89"
"11-Dec-2018","FUTBLN","SILVER","05-03-2019","   38357.00","   38612.00","   38089.00","   38236.00","   38033.00","              133","              73","             8.39"
"10-Dec-2018","FUTBLN","SILVER","05-03-2019","   37972.00","   38434.00","   37705.00","   38377.00","   37649.00","              133","             226","            25.72"
"07-Dec-2018","FUTBLN","SILVER","05-03-2019","   37270.00","   37619.00","   37195.00","   37619.00","   37218.00","               92","              71","             7.95"
"06-Dec-2018","FUTBLN","SILVER","05-03-2019","   37440.00","   37440.00","   37091.00","   37230.00","   37230.00","               82","              55","             6.14"
"05-Dec-2018","FUTBLN","SILVER","05-03-2019","   37120.00","   37395.00","   37120.00","   37395.00","   37395.00","               82","             139","            15.53"
"04-Dec-2018","FUTBLN","SILVER","05-03-2019","   37210.00","   37554.00","   37210.00","   37554.00","   37384.00","               82","              39","             4.38"
"03-Dec-2018","FUTBLN","SILVER","05-03-2019","   36614.00","   37360.00","   36540.00","   37224.00","   36796.00","               82","             130","            14.43"
"30-Nov-2018","FUTBLN","SILVER","05-12-2018","   35555.00","   35555.00","   35450.00","   35460.00","   35544.00","               96","              14","             1.49"
"30-Nov-2018","FUTBLN","SILVER","05-03-2019","   36525.00","   36568.00","   35910.00","   35976.00","   36209.00","               82","              82","             8.89"
"29-Nov-2018","FUTBLN","SILVER","05-12-2018","   35908.00","   35908.00","   35624.00","   35630.00","   35892.00","               96","              65","             6.96"
"29-Nov-2018","FUTBLN","SILVER","05-03-2019","   36782.00","   36782.00","   36530.00","   36604.00","   36565.00","               82","              59","             6.49"
"28-Nov-2018","FUTBLN","SILVER","05-12-2018","   35790.00","   35830.00","   35692.00","   35819.00","   35778.00","               99","              44","             4.72"
"28-Nov-2018","FUTBLN","SILVER","05-03-2019","   36660.00","   37029.00","   36545.00","   36898.00","   36452.00","               79","              52","             5.73"
"27-Nov-2018","FUTBLN","SILVER","05-12-2018","   36072.00","   36098.00","   36010.00","   36098.00","   36156.00","              103","              11","             1.19"
"27-Nov-2018","FUTBLN","SILVER","05-03-2019","   36902.00","   36996.00","   36709.00","   36709.00","   36838.00","               75","              32","             3.54"
"26-Nov-2018","FUTBLN","SILVER","05-12-2018","   36160.00","   36386.00","   36160.00","   36201.00","   36424.00","              108","              17","             1.85"
"26-Nov-2018","FUTBLN","SILVER","05-03-2019","   37234.00","   37285.00","   37018.00","   37018.00","   37113.00","               70","              16","             1.78"
"23-Nov-2018","FUTBLN","SILVER","05-12-2018","   36082.00","   36092.00","   36010.00","   36014.00","   36929.00","              112","              15","             1.62"
"23-Nov-2018","FUTBLN","SILVER","05-03-2019","   36980.00","   36980.00","   36853.00","   36920.00","   37630.00","               70","              16","             1.77"
"22-Nov-2018","FUTBLN","SILVER","05-12-2018","   36933.00","   36935.00","   36666.00","   36680.00","   36936.00","              112","              25","             2.76"
"22-Nov-2018","FUTBLN","SILVER","05-03-2019","   37746.00","   37851.00","   37570.00","   37571.00","   37638.00","               70","              74","             8.39"
