"Trade Date","Instrument","Symbol","Expiry Date","Open Price","High Price","Low Price","Close Price","Daily Settlement Price","Open Interest(OI)","No. of Contracts","Turnover ( Rs.)"
"30-Aug-2019","FUTBLN","GOLDM","05-09-2019","   38510.00","   38510.00","   38510.00","   38510.00","   38533.00","                0","               1","             0.04"
"30-Aug-2019","FUTBLN","GOLDM","04-10-2019","   38742.00","   38920.00","   38658.00","   38689.00","   38712.00","               74","              56","             2.17"
"29-Aug-2019","FUTBLN","GOLDM","05-09-2019","   38853.00","   38971.00","   38700.00","   38753.00","   38877.00","                1","             134","             5.20"
"29-Aug-2019","FUTBLN","GOLDM","04-10-2019","   39208.00","   39359.00","   39044.00","   39060.00","   39057.00","               60","              64","             2.51"
"28-Aug-2019","FUTBLN","GOLDM","05-09-2019","   38523.00","   38739.00","   38516.00","   38734.00","   38851.00","              114","              61","             2.36"
"28-Aug-2019","FUTBLN","GOLDM","04-10-2019","   38864.00","   39119.00","   38864.00","   39085.00","   39031.00","               66","              95","             3.71"
"27-Aug-2019","FUTBLN","GOLDM","05-09-2019","   38393.00","   38530.00","   38370.00","   38370.00","   38476.00","              112","              57","             2.19"
"26-Aug-2019","FUTBLN","GOLDM","05-09-2019","   38673.00","   38855.00","   38404.00","   38476.00","   38649.00","              110","             116","             4.48"
"23-Aug-2019","FUTBLN","GOLDM","05-09-2019","   37742.00","   38193.00","   37596.00","   38193.00","   37703.00","              120","              55","             2.07"
"22-Aug-2019","FUTBLN","GOLDM","05-09-2019","   37571.00","   37729.00","   37562.00","   37729.00","   37770.00","              118","              48","             1.81"
"21-Aug-2019","FUTBLN","GOLDM","05-09-2019","   37544.00","   37557.00","   37455.00","   37521.00","   37635.00","              106","              82","             3.08"
"20-Aug-2019","FUTBLN","GOLDM","05-09-2019","   37357.00","   37653.00","   37357.00","   37577.00","   37789.00","              111","              61","             2.29"
"19-Aug-2019","FUTBLN","GOLDM","05-09-2019","   37352.00","   37428.00","   37296.00","   37396.00","   37568.00","              104","              31","             1.16"
"16-Aug-2019","FUTBLN","GOLDM","05-09-2019","   37740.00","   37740.00","   37356.00","   37426.00","   37521.00","              111","              73","             2.74"
"14-Aug-2019","FUTBLN","GOLDM","05-09-2019","   37296.00","   37785.00","   37190.00","   37776.00","   37516.00","              122","             135","             5.06"
"13-Aug-2019","FUTBLN","GOLDM","05-09-2019","   37936.00","   38133.00","   37601.00","   37601.00","   38014.00","               86","             105","             3.99"
"12-Aug-2019","FUTBLN","GOLDM","05-09-2019","   37803.00","   37803.00","   37776.00","   37776.00","   37450.00","               91","               2","             0.08"
"09-Aug-2019","FUTBLN","GOLDM","05-09-2019","   37491.00","   37531.00","   37384.00","   37472.00","   37468.00","               91","             114","             4.27"
"08-Aug-2019","FUTBLN","GOLDM","05-09-2019","   37605.00","   37748.00","   37217.00","   37308.00","   37308.00","               93","             217","             8.12"
"07-Aug-2019","FUTBLN","GOLDM","05-09-2019","   37370.00","   38090.00","   37312.00","   37876.00","   37194.00","              105","              97","             3.64"
"06-Aug-2019","FUTBLN","GOLDM","05-09-2019","   36856.00","   37030.00","   36630.00","   37030.00","   36638.00","               93","              92","             3.38"
"05-Aug-2019","FUTBLN","GOLDM","05-09-2019","   36497.00","   36824.00","   36468.00","   36804.00","   36418.00","               91","             127","             4.64"
"02-Aug-2019","FUTBLN","GOLDM","05-09-2019","   35389.00","   35980.00","   35389.00","   35972.00","   35972.00","               68","             123","             4.38"
"01-Aug-2019","FUTBLN","GOLDM","05-09-2019","   34915.00","   35561.00","   34788.00","   35398.00","   35398.00","               78","              81","             2.83"
"31-Jul-2019","FUTBLN","GOLDM","05-08-2019","   34690.00","   34756.00","   34673.00","   34682.00","   34810.00","                0","              11","             0.38"
"31-Jul-2019","FUTBLN","GOLDM","05-09-2019","   34996.00","   35138.00","   34979.00","   35040.00","   34991.00","               66","              61","             2.14"
"30-Jul-2019","FUTBLN","GOLDM","05-08-2019","   34810.00","   34915.00","   34794.00","   34884.00","   34852.00","               11","              16","             0.56"
"30-Jul-2019","FUTBLN","GOLDM","05-09-2019","   35116.00","   35202.00","   34820.00","   34820.00","   35034.00","               67","              46","             1.62"
"29-Jul-2019","FUTBLN","GOLDM","05-08-2019","   34800.00","   34810.00","   34760.00","   34774.00","   34790.00","               21","              65","             2.26"
"29-Jul-2019","FUTBLN","GOLDM","05-09-2019","   35040.00","   35045.00","   35016.00","   35045.00","   34972.00","               61","              31","             1.09"
"26-Jul-2019","FUTBLN","GOLDM","05-08-2019","   34879.00","   34893.00","   34764.00","   34800.00","   34837.00","               42","             313","            10.91"
"26-Jul-2019","FUTBLN","GOLDM","05-09-2019","   35075.00","   35109.00","   35075.00","   35078.00","   35019.00","               36","              12","             0.42"
"25-Jul-2019","FUTBLN","GOLDM","05-08-2019","   34985.00","   35119.00","   34848.00","   34848.00","   35016.00","               41","             307","            10.73"
"25-Jul-2019","FUTBLN","GOLDM","05-09-2019","   35291.00","   35302.00","   35223.00","   35238.00","   35199.00","               26","              33","             1.16"
"24-Jul-2019","FUTBLN","GOLDM","05-08-2019","   35004.00","   35073.00","   34925.00","   34977.00","   34967.00","               62","             171","             5.99"
"24-Jul-2019","FUTBLN","GOLDM","05-09-2019","   35320.00","   35320.00","   35320.00","   35320.00","   35150.00","                9","               1","             0.04"
"23-Jul-2019","FUTBLN","GOLDM","05-08-2019","   34968.00","   35113.00","   34922.00","   35035.00","   35035.00","               62","             301","            10.53"
"22-Jul-2019","FUTBLN","GOLDM","05-08-2019","   35119.00","   35190.00","   35058.00","   35074.00","   35015.00","               66","             679","            23.84"
"19-Jul-2019","FUTBLN","GOLDM","05-08-2019","   35310.00","   35351.00","   35054.00","   35068.00","   35258.00","               69","             498","            17.57"
"19-Jul-2019","FUTBLN","GOLDM","05-09-2019","   35596.00","   35613.00","   35593.00","   35613.00","   35443.00","               10","               5","             0.18"
"18-Jul-2019","FUTBLN","GOLDM","05-08-2019","   35001.00","   35107.00","   34860.00","   35096.00","   34846.00","               61","             532","            18.61"
"18-Jul-2019","FUTBLN","GOLDM","05-09-2019","   35245.00","   35260.00","   35245.00","   35250.00","   35030.00","                5","               5","             0.18"
