"Trade Date","Instrument","Symbol","Expiry Date","Open Price","High Price","Low Price","Close Price","Daily Settlement Price","Open Interest(OI)","No. of Contracts","Turnover ( Rs.)"
"31-Oct-2018","FUTBLN","GOLDM","05-11-2018","   31735.00","   31735.00","   31620.00","   31620.00","   31605.00","                1","               9","             0.29"
"30-Oct-2018","FUTBLN","GOLDM","05-11-2018","   31420.00","   31420.00","   31420.00","   31420.00","   31741.00","                4","               2","             0.06"
"29-Oct-2018","FUTBLN","GOLDM","05-11-2018","   31770.00","   31770.00","   31760.00","   31770.00","   31817.00","                4","              42","             1.33"
"26-Oct-2018","FUTBLN","GOLDM","05-11-2018","   31800.00","   31800.00","   31800.00","   31800.00","   31944.00","               46","              10","             0.32"
"24-Oct-2018","FUTBLN","GOLDM","05-11-2018","   31602.00","   31602.00","   31602.00","   31602.00","   31762.00","               56","               1","             0.03"
"23-Oct-2018","FUTBLN","GOLDM","05-11-2018","   32003.00","   32003.00","   31900.00","   31900.00","   31996.00","               57","              20","             0.64"
"22-Oct-2018","FUTBLN","GOLDM","05-11-2018","   31800.00","   31800.00","   31800.00","   31800.00","   31800.00","               57","              10","             0.32"
"17-Oct-2018","FUTBLN","GOLDM","05-11-2018","   32200.00","   32200.00","   32200.00","   32200.00","   31858.00","               47","               1","             0.03"
"15-Oct-2018","FUTBLN","GOLDM","05-11-2018","   31800.00","   32194.00","   31800.00","   32194.00","   32078.00","               47","              31","             0.99"
"12-Oct-2018","FUTBLN","GOLDM","05-11-2018","   31700.00","   31751.00","   31550.00","   31551.00","   31693.00","               51","             114","             3.61"
