"Trade Date","Instrument","Symbol","Expiry Date","Open Price","High Price","Low Price","Close Price","Daily Settlement Price","Open Interest(OI)","No. of Contracts","Turnover ( Rs.)"
"31-Dec-2018","FUTBLN","GOLDM","04-01-2019","   31485.00","   31706.00","   31427.00","   31530.00","   31590.00","                1","              55","             1.73"
"31-Dec-2018","FUTBLN","GOLDM","05-02-2019","   31473.00","   31476.00","   31397.00","   31410.00","   31791.00","                0","              21","             0.66"
"28-Dec-2018","FUTBLN","GOLDM","04-01-2019","   31587.00","   31615.00","   31525.00","   31531.00","   31566.00","               20","              56","             1.77"
"27-Dec-2018","FUTBLN","GOLDM","04-01-2019","   31476.00","   31587.00","   31458.00","   31585.00","   31562.00","               24","              63","             1.99"
"26-Dec-2018","FUTBLN","GOLDM","04-01-2019","   31470.00","   31584.00","   31435.00","   31580.00","   31469.00","               26","              49","             1.54"
"24-Dec-2018","FUTBLN","GOLDM","04-01-2019","   31368.00","   31368.00","   31219.00","   31352.00","   31249.00","               31","              54","             1.69"
"21-Dec-2018","FUTBLN","GOLDM","04-01-2019","   31147.00","   31281.00","   31140.00","   31204.00","   31250.00","               27","              68","             2.12"
"20-Dec-2018","FUTBLN","GOLDM","04-01-2019","   31043.00","   31171.00","   30940.00","   31171.00","   31123.00","               37","              72","             2.23"
"20-Dec-2018","FUTBLN","GOLDM","05-02-2019","   31050.00","   31050.00","   31035.00","   31035.00","   31318.00","                0","               4","             0.12"
"19-Dec-2018","FUTBLN","GOLDM","04-01-2019","   31021.00","   31183.00","   31015.00","   31183.00","   31129.00","               17","              26","             0.81"
"18-Dec-2018","FUTBLN","GOLDM","04-01-2019","   31415.00","   31415.00","   31094.00","   31094.00","   31299.00","               17","              33","             1.03"
"18-Dec-2018","FUTBLN","GOLDM","05-02-2019","   31340.00","   31360.00","   31334.00","   31360.00","   31495.00","                0","               4","             0.13"
"17-Dec-2018","FUTBLN","GOLDM","04-01-2019","   31380.00","   31410.00","   31327.00","   31410.00","   31402.00","               12","               8","             0.25"
"17-Dec-2018","FUTBLN","GOLDM","05-02-2019","   31420.00","   31420.00","   31415.00","   31415.00","   31600.00","                0","               2","             0.06"
"14-Dec-2018","FUTBLN","GOLDM","04-01-2019","   31460.00","   31460.00","   31415.00","   31425.00","   31509.00","               12","               8","             0.25"
"13-Dec-2018","FUTBLN","GOLDM","04-01-2019","   31492.00","   31519.00","   31464.00","   31472.00","   31546.00","               12","               8","             0.25"
"12-Dec-2018","FUTBLN","GOLDM","04-01-2019","   31690.00","   31690.00","   31650.00","   31650.00","   31708.00","               10","              10","             0.32"
"11-Dec-2018","FUTBLN","GOLDM","04-01-2019","   31810.00","   31826.00","   31720.00","   31800.00","   31773.00","               10","               6","             0.19"
"10-Dec-2018","FUTBLN","GOLDM","04-01-2019","   31482.00","   31886.00","   31475.00","   31840.00","   31577.00","               10","              18","             0.57"
"10-Dec-2018","FUTBLN","GOLDM","05-02-2019","   31590.00","   31592.00","   31590.00","   31592.00","   31775.00","                0","               2","             0.06"
"07-Dec-2018","FUTBLN","GOLDM","04-01-2019","   31223.00","   31223.00","   31223.00","   31223.00","   31176.00","                0","               2","             0.06"
"05-Dec-2018","FUTBLN","GOLDM","05-02-2019","   31000.00","   31000.00","   30998.00","   30998.00","   31260.00","                0","               2","             0.06"
"04-Dec-2018","FUTBLN","GOLDM","05-02-2019","   31050.00","   31050.00","   31045.00","   31045.00","   31365.00","                0","               2","             0.06"
"30-Nov-2018","FUTBLN","GOLDM","05-12-2018","   30200.00","   30200.00","   30198.00","   30198.00","   30289.00","                0","               2","             0.06"
"29-Nov-2018","FUTBLN","GOLDM","04-01-2019","   30390.00","   30391.00","   30380.00","   30380.00","   30582.00","                0","               6","             0.18"
"28-Nov-2018","FUTBLN","GOLDM","05-12-2018","   30290.00","   30295.00","   30290.00","   30295.00","   30437.00","                0","               2","             0.06"
"27-Nov-2018","FUTBLN","GOLDM","05-12-2018","   30600.00","   30605.00","   30600.00","   30605.00","   30691.00","                0","               2","             0.06"
"26-Nov-2018","FUTBLN","GOLDM","05-12-2018","   30630.00","   30630.00","   30630.00","   30630.00","   30713.00","                0","               2","             0.06"
"22-Nov-2018","FUTBLN","GOLDM","05-12-2018","   30705.00","   30705.00","   30705.00","   30705.00","   30943.00","                0","               2","             0.06"
"21-Nov-2018","FUTBLN","GOLDM","05-12-2018","   30822.00","   30822.00","   30822.00","   30822.00","   30950.00","                0","               2","             0.06"
"20-Nov-2018","FUTBLN","GOLDM","05-12-2018","   30880.00","   30880.00","   30880.00","   30880.00","   30996.00","                0","               2","             0.06"
"16-Nov-2018","FUTBLN","GOLDM","05-12-2018","   30820.00","   30820.00","   30812.00","   30812.00","   31033.00","                0","               2","             0.06"
"14-Nov-2018","FUTBLN","GOLDM","05-12-2018","   30701.00","   30701.00","   30699.00","   30699.00","   30886.00","                0","               2","             0.06"
"05-Nov-2018","FUTBLN","GOLDM","05-11-2018","   31695.00","   31695.00","   31695.00","   31695.00","   31679.00","                0","               1","             0.03"
