,Date,Instrument,Symbol,Expiry_Date,Open_Price,High_Price,Low_Price,Close_Price,Daily_Settlement_Price,Open_Interest,No_of_Contracts,Turnover
0,2019-02-28,FUTBLN,GOLDM,05-03-2019,33162.0,33200.0,33131.0,33200.0,33291.0,0,35,1.16
1,2019-02-28,FUTBLN,GOLDM,05-04-2019,33250.0,33366.0,33026.0,33029.0,33488.0,66,555,18.47
2,2019-02-28,FUTBLN,GOLDM,03-05-2019,33440.0,33440.0,33323.0,33323.0,33700.0,1,3,0.1
3,2019-02-27,FUTBLN,GOLDM,05-03-2019,33302.0,33465.0,33242.0,33301.0,33422.0,1,190,6.34
4,2019-02-27,FUTBLN,GOLDM,05-04-2019,33432.0,33592.0,33280.0,33280.0,33619.0,68,380,12.72
5,2019-02-26,FUTBLN,GOLDM,05-03-2019,33386.0,33447.0,33214.0,33294.0,33316.0,4,270,9.0
6,2019-02-26,FUTBLN,GOLDM,05-04-2019,33505.0,33540.0,33333.0,33359.0,33511.0,56,312,10.43
7,2019-02-25,FUTBLN,GOLDM,05-03-2019,33350.0,33394.0,33154.0,33222.0,33394.0,10,336,11.19
8,2019-02-25,FUTBLN,GOLDM,05-04-2019,33519.0,33519.0,33334.0,33390.0,33590.0,47,127,4.25
9,2019-02-22,FUTBLN,GOLDM,05-03-2019,33281.0,33404.0,33199.0,33393.0,33299.0,74,367,12.21
10,2019-02-22,FUTBLN,GOLDM,05-04-2019,33390.0,33479.0,33350.0,33461.0,33494.0,65,11,0.37
11,2019-02-21,FUTBLN,GOLDM,05-03-2019,33606.0,33645.0,33375.0,33394.0,33549.0,57,782,26.23
12,2019-02-21,FUTBLN,GOLDM,05-04-2019,33701.0,33759.0,33550.0,33552.0,33745.0,66,72,2.42
13,2019-02-20,FUTBLN,GOLDM,05-03-2019,33841.0,33847.0,33690.0,33717.0,33744.0,74,597,20.15
14,2019-02-20,FUTBLN,GOLDM,05-04-2019,33963.0,33966.0,33855.0,33889.0,33941.0,90,69,2.34
15,2019-02-19,FUTBLN,GOLDM,05-03-2019,33451.0,33705.0,33443.0,33705.0,33619.0,74,604,20.25
16,2019-02-19,FUTBLN,GOLDM,05-04-2019,33611.0,33741.0,33563.0,33734.0,33814.0,65,39,1.31
17,2019-02-18,FUTBLN,GOLDM,05-03-2019,33424.0,33465.0,33366.0,33436.0,33405.0,74,491,16.41
18,2019-02-18,FUTBLN,GOLDM,05-04-2019,33529.0,33583.0,33491.0,33583.0,33599.0,50,40,1.34
19,2019-02-15,FUTBLN,GOLDM,05-03-2019,33074.0,33264.0,33055.0,33227.0,33269.0,72,648,21.48
20,2019-02-15,FUTBLN,GOLDM,05-04-2019,33177.0,33366.0,33165.0,33366.0,33462.0,42,86,2.86
21,2019-02-14,FUTBLN,GOLDM,05-03-2019,32810.0,32992.0,32766.0,32975.0,32960.0,37,646,21.23
22,2019-02-14,FUTBLN,GOLDM,05-04-2019,32931.0,32950.0,32931.0,32950.0,33151.0,13,6,0.2
23,2019-02-13,FUTBLN,GOLDM,05-03-2019,32748.0,33002.0,32697.0,32977.0,32964.0,67,720,23.63
24,2019-02-13,FUTBLN,GOLDM,05-04-2019,32851.0,32953.0,32851.0,32918.0,33155.0,15,37,1.22
25,2019-02-12,FUTBLN,GOLDM,05-03-2019,32933.0,32934.0,32730.0,32738.0,32990.0,55,506,16.63
26,2019-02-12,FUTBLN,GOLDM,05-04-2019,32969.0,32998.0,32949.0,32960.0,33183.0,5,18,0.59
27,2019-02-11,FUTBLN,GOLDM,05-03-2019,33047.0,33064.0,32814.0,32922.0,32922.0,54,664,21.87
28,2019-02-11,FUTBLN,GOLDM,05-04-2019,33129.0,33129.0,32915.0,32945.0,33196.0,0,25,0.82
29,2019-02-08,FUTBLN,GOLDM,05-03-2019,33016.0,33129.0,32918.0,33101.0,33142.0,46,596,19.69
30,2019-02-08,FUTBLN,GOLDM,05-04-2019,33084.0,33208.0,33082.0,33208.0,33335.0,1,7,0.23
31,2019-02-07,FUTBLN,GOLDM,05-03-2019,33091.0,33116.0,32955.0,33050.0,33161.0,25,782,25.82
32,2019-02-07,FUTBLN,GOLDM,05-04-2019,33113.0,33113.0,33077.0,33098.0,33358.0,0,10,0.33
33,2019-02-06,FUTBLN,GOLDM,05-03-2019,33280.0,33331.0,33188.0,33223.0,33408.0,30,496,16.5
