,Date ,Open ,High ,Low ,Close ,Prev. Close ,Change ,% Change,Symbol
31,22-Apr-2009,48.47,54.39,48.47,53.59,       53.2700,0.32,0.6,INDIAVIX
32,23-Apr-2009,46.98,52.69,46.98,49.23,       53.5900,-4.36,-8.14,INDIAVIX
33,24-Apr-2009,45.68,49.14,45.48,47.12,       49.2300,-2.11,-4.29,INDIAVIX
34,27-Apr-2009,47.12,50.47,47.12,49.11,       47.1200,1.99,4.22,INDIAVIX
35,28-Apr-2009,49.11,49.89,47.25,48.74,       49.1100,-0.37,-0.75,INDIAVIX
36,29-Apr-2009,48.74,48.74,45.74,45.87,       48.7400,-2.87,-5.89,INDIAVIX
37,04-May-2009,45.87,50.66,45.16,50.51,       45.8700,4.64,10.12,INDIAVIX
38,05-May-2009,50.51,51.68,48.35,51.14,       50.5100,0.63,1.25,INDIAVIX
39,06-May-2009,51.14,53.7,48.85,52.04,       51.1400,0.9,1.76,INDIAVIX
40,07-May-2009,52.04,53.84,51.04,51.08,       52.0400,-0.96,-1.84,INDIAVIX
41,08-May-2009,51.08,51.08,48.45,50.94,       51.0800,-0.14,-0.27,INDIAVIX
42,11-May-2009,50.94,55.23,50.76,54.76,       50.9400,3.82,7.5,INDIAVIX
43,12-May-2009,54.76,54.76,49.99,52.2,       54.7600,-2.56,-4.67,INDIAVIX
44,13-May-2009,52.2,53.01,48.34,52.97,       52.2000,0.77,1.48,INDIAVIX
45,14-May-2009,49.02,53.38,49.02,52.32,       52.9700,-0.65,-1.23,INDIAVIX
46,15-May-2009,52.32,52.32,44.7,52.01,       52.3200,-0.31,-0.59,INDIAVIX
47,18-May-2009,52.01,52.01,52.01,52.01,       52.0100,0.0,0.0,INDIAVIX
48,19-May-2009,52.01,57.1,48.01,56.07,       52.0100,4.06,7.81,INDIAVIX
49,20-May-2009,51.05,54.66,49.4,49.51,       56.0700,-6.56,-11.7,INDIAVIX
50,21-May-2009,46.24,47.98,42.22,43.31,       49.5100,-6.2,-12.52,INDIAVIX
51,22-May-2009,39.22,44.6,39.22,41.97,       43.3100,-1.34,-3.09,INDIAVIX
52,25-May-2009,35.12,42.59,35.12,39.38,       41.9700,-2.59,-6.17,INDIAVIX
53,26-May-2009,39.38,44.3,39.38,43.87,       39.3800,4.49,11.4,INDIAVIX
54,27-May-2009,43.87,43.87,39.27,39.74,       43.8700,-4.13,-9.41,INDIAVIX
55,28-May-2009,39.74,39.77,37.78,37.78,       39.7400,-1.96,-4.93,INDIAVIX
56,29-May-2009,37.78,41.31,37.17,40.57,       37.7800,2.79,7.38,INDIAVIX
57,01-Jun-2009,40.57,42.22,38.3,41.02,       40.5700,0.45,1.11,INDIAVIX
58,02-Jun-2009,41.02,41.02,38.98,40.17,       41.0200,-0.85,-2.07,INDIAVIX
59,03-Jun-2009,40.17,40.23,35.72,39.42,       40.1700,-0.75,-1.87,INDIAVIX
60,04-Jun-2009,39.42,40.57,33.71,40.2,       39.4200,0.78,1.98,INDIAVIX
61,05-Jun-2009,40.2,40.73,37.5,40.0,       40.2000,-0.2,-0.5,INDIAVIX
62,08-Jun-2009,40.0,42.11,37.99,42.06,       40.0000,2.06,5.15,INDIAVIX
63,09-Jun-2009,42.06,42.06,37.43,39.84,       42.0600,-2.22,-5.28,INDIAVIX
64,10-Jun-2009,39.84,40.08,35.99,39.44,       39.8400,-0.4,-1.0,INDIAVIX
65,11-Jun-2009,39.44,41.05,37.21,40.86,       39.4400,1.42,3.6,INDIAVIX
66,12-Jun-2009,40.86,40.86,38.36,40.19,       40.8600,-0.67,-1.64,INDIAVIX
67,15-Jun-2009,40.19,42.55,38.66,41.13,       40.1900,0.94,2.34,INDIAVIX
68,16-Jun-2009,35.09,41.87,35.09,41.44,       41.1300,0.31,0.75,INDIAVIX
69,17-Jun-2009,41.44,44.96,37.76,44.89,       41.4400,3.45,8.33,INDIAVIX
70,18-Jun-2009,42.75,45.18,42.23,44.95,       44.8900,0.06,0.13,INDIAVIX
71,19-Jun-2009,40.3,44.04,40.3,42.47,       44.9500,-2.48,-5.52,INDIAVIX
72,22-Jun-2009,40.68,45.0,40.68,44.17,       42.4700,1.7,4.0,INDIAVIX
73,23-Jun-2009,44.17,44.17,44.17,44.17,       44.1700,0.0,0.0,INDIAVIX
74,24-Jun-2009,44.17,49.31,44.17,44.17,       44.1700,0.0,0.0,INDIAVIX
75,25-Jun-2009,44.17,46.16,41.73,43.63,       44.1700,-0.54,-1.22,INDIAVIX
76,26-Jun-2009,43.63,43.63,37.73,38.3,       43.6300,-5.33,-12.22,INDIAVIX
77,29-Jun-2009,38.3,40.67,38.3,40.51,       38.3000,2.21,5.77,INDIAVIX
78,30-Jun-2009,40.51,43.38,40.2,42.52,       40.5100,2.01,4.96,INDIAVIX
79,01-Jul-2009,42.52,44.38,41.94,43.07,       42.5200,0.55,1.29,INDIAVIX
80,02-Jul-2009,43.07,44.54,42.78,43.8,       43.0700,0.73,1.69,INDIAVIX
81,03-Jul-2009,43.8,46.55,43.8,46.55,       43.8000,2.75,6.28,INDIAVIX
82,06-Jul-2009,46.55,47.25,39.3,39.7,       46.5500,-6.85,-14.72,INDIAVIX
83,07-Jul-2009,39.7,39.7,35.53,36.22,       39.7000,-3.48,-8.77,INDIAVIX
84,08-Jul-2009,36.22,37.59,34.71,37.27,       36.2200,1.05,2.9,INDIAVIX
85,09-Jul-2009,37.27,37.81,35.73,35.96,       37.2700,-1.31,-3.51,INDIAVIX
86,10-Jul-2009,35.96,36.65,34.97,35.03,       35.9600,-0.93,-2.59,INDIAVIX
87,13-Jul-2009,35.03,37.55,35.03,36.5,       35.0300,1.47,4.2,INDIAVIX
88,14-Jul-2009,36.5,36.5,34.2,34.67,       36.5000,-1.83,-5.01,INDIAVIX
89,15-Jul-2009,34.67,36.33,31.41,36.12,       34.6700,1.45,4.18,INDIAVIX
90,16-Jul-2009,33.38,38.18,33.38,37.58,       36.1200,1.46,4.04,INDIAVIX
91,17-Jul-2009,34.34,37.23,34.34,35.95,       37.5800,-1.63,-4.34,INDIAVIX
92,20-Jul-2009,34.65,37.65,34.32,36.97,       35.9500,1.02,2.84,INDIAVIX
93,21-Jul-2009,36.59,37.49,36.31,36.56,       36.9700,-0.41,-1.11,INDIAVIX
94,22-Jul-2009,35.24,37.29,35.24,37.13,       36.5600,0.57,1.56,INDIAVIX
95,23-Jul-2009,35.72,36.9,35.72,36.31,       37.1300,-0.82,-2.21,INDIAVIX
96,24-Jul-2009,34.97,37.27,34.97,36.59,       36.3100,0.28,0.77,INDIAVIX
97,27-Jul-2009,36.11,38.57,36.11,37.43,       36.5900,0.84,2.3,INDIAVIX
98,28-Jul-2009,37.43,37.48,35.95,35.95,       37.4300,-1.48,-3.95,INDIAVIX
99,29-Jul-2009,35.95,37.62,35.73,37.55,       35.9500,1.6,4.45,INDIAVIX
100,30-Jul-2009,37.55,37.55,35.65,36.6,       37.5500,-0.95,-2.53,INDIAVIX
101,31-Jul-2009,36.6,36.6,34.88,36.14,       36.6000,-0.46,-1.26,INDIAVIX
102,03-Aug-2009,36.14,37.67,35.4,37.38,       36.1400,1.24,3.43,INDIAVIX
103,04-Aug-2009,37.38,37.48,36.32,37.1,       37.3800,-0.28,-0.75,INDIAVIX
104,05-Aug-2009,37.1,37.99,36.16,37.04,       37.1000,-0.06,-0.16,INDIAVIX
105,06-Aug-2009,36.13,38.41,35.57,38.0,       37.0400,0.96,2.59,INDIAVIX
106,07-Aug-2009,38.0,38.49,32.33,37.74,       38.0000,-0.26,-0.68,INDIAVIX
107,10-Aug-2009,37.74,39.89,36.72,39.14,       37.7400,1.4,3.71,INDIAVIX
108,11-Aug-2009,39.14,39.2,31.59,39.04,       39.1400,-0.1,-0.26,INDIAVIX
109,12-Aug-2009,37.31,40.61,36.36,38.89,       39.0400,-0.15,-0.38,INDIAVIX
110,13-Aug-2009,34.76,38.75,34.76,35.95,       38.8900,-2.94,-7.56,INDIAVIX
111,14-Aug-2009,34.28,37.75,34.28,36.74,       35.9500,0.79,2.2,INDIAVIX
112,17-Aug-2009,34.83,41.89,34.83,41.28,       36.7400,4.54,12.36,INDIAVIX
113,18-Aug-2009,36.37,41.09,36.37,38.74,       41.2800,-2.54,-6.15,INDIAVIX
114,19-Aug-2009,35.49,40.29,35.49,39.55,       38.7400,0.81,2.09,INDIAVIX
115,20-Aug-2009,37.46,38.86,37.29,37.65,       39.5500,-1.9,-4.8,INDIAVIX
116,21-Aug-2009,35.38,38.02,35.38,36.07,       37.6500,-1.58,-4.2,INDIAVIX
117,24-Aug-2009,34.24,35.97,34.24,35.51,       36.0700,-0.56,-1.55,INDIAVIX
118,25-Aug-2009,35.51,36.31,34.93,35.18,       35.5100,-0.33,-0.93,INDIAVIX
119,26-Aug-2009,35.18,35.18,34.23,34.35,       35.1800,-0.83,-2.36,INDIAVIX
120,27-Aug-2009,34.35,34.73,33.54,33.6,       34.3500,-0.75,-2.18,INDIAVIX
121,28-Aug-2009,33.6,34.26,32.45,33.5,       33.6000,-0.1,-0.3,INDIAVIX
122,31-Aug-2009,33.5,35.01,33.22,34.22,       33.5000,0.72,2.15,INDIAVIX
123,01-Sep-2009,31.71,35.76,31.71,34.79,       34.2200,0.57,1.67,INDIAVIX
124,02-Sep-2009,34.79,35.58,31.17,34.73,       34.7900,-0.06,-0.17,INDIAVIX
125,03-Sep-2009,33.73,35.3,33.3,33.82,       34.7300,-0.91,-2.62,INDIAVIX
126,04-Sep-2009,33.82,33.82,32.15,32.39,       33.8200,-1.43,-4.23,INDIAVIX
127,07-Sep-2009,33.6,33.6,31.91,32.05,       32.3900,-0.34,-1.05,INDIAVIX
128,08-Sep-2009,26.08,32.41,26.08,31.78,       32.0500,-0.27,-0.84,INDIAVIX
129,09-Sep-2009,32.14,32.16,31.4,31.41,       31.7800,-0.37,-1.16,INDIAVIX
130,10-Sep-2009,30.49,31.67,30.49,31.36,       31.4100,-0.05,-0.16,INDIAVIX
131,11-Sep-2009,29.51,31.38,29.37,30.58,       31.3600,-0.78,-2.49,INDIAVIX
132,14-Sep-2009,31.63,32.34,31.55,31.55,       30.5800,0.97,3.17,INDIAVIX
133,15-Sep-2009,31.11,31.4,29.76,30.12,       31.5500,-1.43,-4.53,INDIAVIX
134,16-Sep-2009,29.01,29.55,28.21,28.29,       30.1200,-1.83,-6.08,INDIAVIX
135,17-Sep-2009,27.97,28.48,27.63,27.89,       28.2900,-0.4,-1.41,INDIAVIX
136,18-Sep-2009,27.14,28.08,26.8,26.99,       27.8900,-0.9,-3.23,INDIAVIX
137,22-Sep-2009,26.99,32.66,26.3,26.87,       26.9900,-0.12,-0.44,INDIAVIX
138,23-Sep-2009,26.87,27.5,26.27,26.47,       26.8700,-0.4,-1.49,INDIAVIX
139,24-Sep-2009,26.47,27.99,24.29,24.31,       26.4700,-2.16,-8.16,INDIAVIX
140,25-Sep-2009,24.31,27.77,24.05,25.69,       24.3100,1.38,5.68,INDIAVIX
141,29-Sep-2009,25.69,27.2,25.69,26.17,       25.6900,0.48,1.87,INDIAVIX
142,30-Sep-2009,26.17,26.63,25.01,25.29,       26.1700,-0.88,-3.36,INDIAVIX
143,01-Oct-2009,25.29,25.65,25.06,25.24,       25.2900,-0.05,-0.2,INDIAVIX
144,05-Oct-2009,25.24,28.94,25.24,28.68,       25.2400,3.44,13.63,INDIAVIX
145,06-Oct-2009,26.57,30.25,26.57,27.73,       28.6800,-0.95,-3.31,INDIAVIX
146,07-Oct-2009,27.73,30.72,27.16,30.53,       27.7300,2.8,10.1,INDIAVIX
147,08-Oct-2009,28.39,30.15,28.39,29.9,       30.5300,-0.63,-2.06,INDIAVIX
148,09-Oct-2009,27.2,30.6,27.2,30.24,       29.9000,0.34,1.14,INDIAVIX
149,12-Oct-2009,29.73,30.85,28.01,28.1,       30.2400,-2.14,-7.08,INDIAVIX
150,14-Oct-2009,27.72,27.92,26.37,26.37,       28.1000,-1.73,-6.16,INDIAVIX
151,15-Oct-2009,22.84,27.64,22.84,26.64,       26.3700,0.27,1.02,INDIAVIX
152,16-Oct-2009,25.45,27.17,25.45,25.94,       26.6400,-0.7,-2.63,INDIAVIX
153,17-Oct-2009,25.94,26.36,23.5,26.29,       25.9400,0.35,1.35,INDIAVIX
154,20-Oct-2009,23.73,26.95,23.73,26.67,       26.2900,0.38,1.45,INDIAVIX
155,21-Oct-2009,25.53,27.17,25.53,26.77,       26.6700,0.1,0.37,INDIAVIX
156,22-Oct-2009,25.55,27.29,25.55,26.51,       26.7700,-0.26,-0.97,INDIAVIX
157,23-Oct-2009,25.02,25.92,24.86,25.22,       26.5100,-1.29,-4.87,INDIAVIX
158,26-Oct-2009,23.56,26.55,23.56,26.04,       25.2200,0.82,3.25,INDIAVIX
159,27-Oct-2009,26.04,28.17,25.22,28.07,       26.0400,2.03,7.8,INDIAVIX
160,28-Oct-2009,28.07,28.68,27.0,28.49,       28.0700,0.42,1.5,INDIAVIX
161,29-Oct-2009,28.13,31.98,27.73,28.31,       28.4900,-0.18,-0.63,INDIAVIX
162,30-Oct-2009,25.91,29.37,25.7,28.81,       28.3100,0.5,1.77,INDIAVIX
163,03-Nov-2009,25.29,33.05,25.29,32.04,       28.8100,3.23,11.21,INDIAVIX
164,04-Nov-2009,28.54,32.42,28.54,30.04,       32.0400,-2.0,-6.24,INDIAVIX
165,05-Nov-2009,28.48,31.8,28.48,30.03,       30.0400,-0.01,-0.03,INDIAVIX
166,06-Nov-2009,27.38,30.73,27.38,29.21,       30.0300,-0.82,-2.73,INDIAVIX
167,09-Nov-2009,29.21,30.9,28.94,29.52,       29.2100,0.31,1.06,INDIAVIX
168,10-Nov-2009,26.85,30.5,26.85,30.15,       29.5200,0.63,2.13,INDIAVIX
169,11-Nov-2009,30.23,31.7,28.59,30.84,       30.1500,0.69,2.29,INDIAVIX
170,12-Nov-2009,27.17,30.41,27.17,29.61,       30.8400,-1.23,-3.99,INDIAVIX
171,13-Nov-2009,26.63,29.94,26.63,29.65,       29.6100,0.04,0.14,INDIAVIX
172,16-Nov-2009,29.65,29.65,27.8,28.04,       29.6500,-1.61,-5.43,INDIAVIX
173,17-Nov-2009,28.04,28.06,26.75,26.75,       28.0400,-1.29,-4.6,INDIAVIX
174,18-Nov-2009,25.18,26.84,25.18,26.29,       26.7500,-0.46,-1.72,INDIAVIX
175,19-Nov-2009,23.72,27.91,23.72,27.48,       26.2900,1.19,4.53,INDIAVIX
176,20-Nov-2009,27.48,29.1,26.23,28.61,       27.4800,1.13,4.11,INDIAVIX
177,23-Nov-2009,28.61,28.61,24.48,26.28,       28.6100,-2.33,-8.14,INDIAVIX
178,24-Nov-2009,26.28,26.85,24.94,25.45,       26.2800,-0.83,-3.16,INDIAVIX
179,25-Nov-2009,25.45,26.47,23.62,24.66,       25.4500,-0.79,-3.1,INDIAVIX
180,26-Nov-2009,24.66,30.13,24.51,28.12,       24.6600,3.46,14.03,INDIAVIX
181,27-Nov-2009,28.12,35.84,28.12,30.13,       28.1200,2.01,7.15,INDIAVIX
182,30-Nov-2009,30.13,30.13,26.74,27.4,       30.1300,-2.73,-9.06,INDIAVIX
183,01-Dec-2009,25.57,26.7,24.94,26.27,       27.4000,-1.13,-4.12,INDIAVIX
184,02-Dec-2009,24.08,26.16,24.08,25.64,       26.2700,-0.63,-2.4,INDIAVIX
185,03-Dec-2009,25.64,27.3,24.73,25.59,       25.6400,-0.05,-0.2,INDIAVIX
186,04-Dec-2009,23.78,26.9,23.78,25.61,       25.5900,0.02,0.08,INDIAVIX
187,07-Dec-2009,24.09,27.5,24.09,26.95,       25.6100,1.34,5.23,INDIAVIX
188,08-Dec-2009,26.95,28.81,26.08,26.23,       26.9500,-0.72,-2.67,INDIAVIX
189,09-Dec-2009,25.23,27.38,25.23,27.36,       26.2300,1.13,4.31,INDIAVIX
190,10-Dec-2009,25.17,27.79,25.17,27.03,       27.3600,-0.33,-1.21,INDIAVIX
191,11-Dec-2009,24.78,27.75,24.78,26.76,       27.0300,-0.27,-1.0,INDIAVIX
192,14-Dec-2009,24.72,28.27,24.72,27.82,       26.7600,1.06,3.96,INDIAVIX
193,15-Dec-2009,25.81,28.68,25.81,28.59,       27.8200,0.77,2.77,INDIAVIX
194,16-Dec-2009,27.38,28.39,27.28,27.36,       28.5900,-1.23,-4.3,INDIAVIX
195,17-Dec-2009,23.5,27.65,23.5,27.23,       27.3600,-0.13,-0.48,INDIAVIX
196,18-Dec-2009,25.5,27.21,25.5,26.59,       27.2300,-0.64,-2.35,INDIAVIX
197,21-Dec-2009,24.19,27.34,24.19,25.95,       26.5900,-0.64,-2.41,INDIAVIX
198,22-Dec-2009,24.97,25.75,24.5,24.69,       25.9500,-1.26,-4.86,INDIAVIX
199,23-Dec-2009,22.82,26.55,22.82,24.49,       24.6900,-0.2,-0.81,INDIAVIX
200,24-Dec-2009,22.76,23.96,22.65,22.94,       24.4900,-1.55,-6.33,INDIAVIX
201,29-Dec-2009,22.94,24.9,22.94,24.33,       22.9400,1.39,6.06,INDIAVIX
202,30-Dec-2009,24.33,25.11,24.2,24.58,       24.3300,0.25,1.03,INDIAVIX
203,31-Dec-2009,23.24,24.39,23.16,23.35,       24.5800,-1.23,-5.0,INDIAVIX
204,04-Jan-2010,23.35,24.95,23.35,23.73,23.35,0.38,1.63,INDIAVIX
205,05-Jan-2010,23.73,23.73,22.08,22.21,23.73,-1.52,-6.41,INDIAVIX
206,06-Jan-2010,21.73,22.57,21.73,22.1,22.21,-0.11,-0.5,INDIAVIX
207,07-Jan-2010,21.27,22.92,21.25,22.29,22.1,0.19,0.86,INDIAVIX
208,08-Jan-2010,20.64,22.71,20.64,22.41,22.29,0.12,0.54,INDIAVIX
209,11-Jan-2010,22.25,22.83,22.15,22.45,22.41,0.04,0.18,INDIAVIX
210,12-Jan-2010,22.45,23.19,22.24,22.96,22.45,0.51,2.27,INDIAVIX
211,13-Jan-2010,21.13,23.11,21.13,21.96,22.96,-1.0,-4.36,INDIAVIX
212,14-Jan-2010,19.5,21.83,19.5,20.89,21.96,-1.07,-4.87,INDIAVIX
213,15-Jan-2010,20.11,21.36,20.11,21.06,20.89,0.17,0.81,INDIAVIX
214,18-Jan-2010,19.4,22.13,19.4,21.64,21.06,0.58,2.75,INDIAVIX
215,19-Jan-2010,20.33,22.36,20.33,22.01,21.64,0.37,1.71,INDIAVIX
216,20-Jan-2010,19.79,22.83,19.79,22.25,22.01,0.24,1.09,INDIAVIX
217,21-Jan-2010,20.94,24.89,20.94,24.17,22.25,1.92,8.63,INDIAVIX
218,22-Jan-2010,24.17,26.7,24.17,25.4,24.17,1.23,5.09,INDIAVIX
219,25-Jan-2010,25.25,26.45,25.04,25.81,25.4,0.41,1.61,INDIAVIX
220,27-Jan-2010,24.71,29.23,24.71,29.2,25.81,3.39,13.13,INDIAVIX
221,28-Jan-2010,26.55,29.23,26.55,26.93,29.2,-2.27,-7.77,INDIAVIX
222,29-Jan-2010,27.1,28.54,25.72,26.65,26.93,-0.28,-1.04,INDIAVIX
223,01-Feb-2010,23.35,27.3,23.35,26.17,26.65,-0.48,-1.8,INDIAVIX
224,02-Feb-2010,23.94,27.43,23.94,26.05,26.17,-0.12,-0.46,INDIAVIX
225,03-Feb-2010,25.79,27.05,25.39,26.23,26.05,0.18,0.69,INDIAVIX
226,04-Feb-2010,23.63,27.49,23.63,26.56,26.23,0.33,1.26,INDIAVIX
227,05-Feb-2010,26.56,31.16,26.56,29.96,26.56,3.4,12.8,INDIAVIX
228,06-Feb-2010,29.96,29.96,28.05,29.18,29.96,-0.78,-2.6,INDIAVIX
229,08-Feb-2010,29.18,31.74,29.18,31.33,29.18,2.15,7.37,INDIAVIX
230,09-Feb-2010,30.24,30.61,29.61,29.91,31.33,-1.42,-4.53,INDIAVIX
231,10-Feb-2010,28.37,30.79,28.37,30.61,29.91,0.7,2.34,INDIAVIX
232,11-Feb-2010,27.29,29.73,27.29,29.14,30.61,-1.47,-4.8,INDIAVIX
233,15-Feb-2010,29.34,30.56,29.18,29.67,29.14,0.53,1.82,INDIAVIX
234,16-Feb-2010,27.73,29.73,27.73,28.92,29.67,-0.75,-2.53,INDIAVIX
235,17-Feb-2010,26.49,28.61,26.49,27.75,28.92,-1.17,-4.05,INDIAVIX
236,18-Feb-2010,26.49,28.57,26.49,28.42,27.75,0.67,2.41,INDIAVIX
237,19-Feb-2010,26.68,30.62,26.68,30.45,28.42,2.03,7.14,INDIAVIX
238,22-Feb-2010,28.19,31.82,28.19,31.8,30.45,1.35,4.43,INDIAVIX
239,23-Feb-2010,31.27,32.13,30.89,31.09,31.8,-0.71,-2.23,INDIAVIX
240,24-Feb-2010,29.13,31.32,29.13,30.55,31.09,-0.54,-1.74,INDIAVIX
241,25-Feb-2010,30.55,30.6,28.84,29.71,30.55,-0.84,-2.75,INDIAVIX
242,26-Feb-2010,29.71,29.86,23.38,25.24,29.71,-4.47,-15.05,INDIAVIX
243,02-Mar-2010,23.27,23.66,21.99,22.82,25.24,-2.42,-9.59,INDIAVIX
244,03-Mar-2010,20.83,21.83,20.8,21.3,22.82,-1.52,-6.66,INDIAVIX
245,04-Mar-2010,20.3,21.65,20.3,21.24,21.3,-0.06,-0.28,INDIAVIX
246,05-Mar-2010,19.48,21.43,19.48,21.0,21.24,-0.24,-1.13,INDIAVIX
247,08-Mar-2010,19.81,21.21,19.81,20.82,21.0,-0.18,-0.86,INDIAVIX
248,09-Mar-2010,20.44,21.18,20.4,20.96,20.82,0.14,0.67,INDIAVIX
249,10-Mar-2010,18.41,20.77,18.41,20.25,20.96,-0.71,-3.39,INDIAVIX
250,11-Mar-2010,18.55,20.64,18.55,20.53,20.25,0.28,1.38,INDIAVIX
251,12-Mar-2010,18.48,20.4,18.48,19.82,20.53,-0.71,-3.46,INDIAVIX
252,15-Mar-2010,19.15,20.93,19.15,20.43,19.82,0.61,3.08,INDIAVIX
253,16-Mar-2010,18.74,20.27,18.74,20.17,20.43,-0.26,-1.27,INDIAVIX
254,17-Mar-2010,17.86,19.57,17.86,19.04,20.17,-1.13,-5.6,INDIAVIX
255,18-Mar-2010,17.96,19.7,17.96,19.26,19.04,0.22,1.16,INDIAVIX
256,19-Mar-2010,18.08,19.39,18.08,18.94,19.26,-0.32,-1.66,INDIAVIX
257,22-Mar-2010,18.94,20.31,18.0,20.21,18.94,1.27,6.71,INDIAVIX
258,23-Mar-2010,20.21,20.4,18.33,18.42,20.21,-1.79,-8.86,INDIAVIX
259,25-Mar-2010,18.42,19.26,17.24,17.84,18.42,-0.58,-3.15,INDIAVIX
260,26-Mar-2010,17.84,18.32,16.63,18.23,17.84,0.39,2.19,INDIAVIX
261,29-Mar-2010,18.16,19.9,18.16,19.48,18.23,1.25,6.86,INDIAVIX
262,30-Mar-2010,18.28,19.9,18.28,19.9,19.48,0.42,2.16,INDIAVIX
263,31-Mar-2010,19.9,20.06,18.94,19.83,19.9,-0.07,-0.35,INDIAVIX
264,01-Apr-2010,18.81,19.42,17.49,18.09,19.83,-1.74,-8.77,INDIAVIX
265,05-Apr-2010,17.43,18.28,16.94,17.5,18.09,-0.59,-3.26,INDIAVIX
266,06-Apr-2010,17.5,17.52,16.47,17.3,17.5,-0.2,-1.14,INDIAVIX
267,07-Apr-2010,17.3,17.79,16.63,17.5,17.3,0.2,1.16,INDIAVIX
268,08-Apr-2010,16.68,19.81,16.54,19.58,17.5,2.08,11.89,INDIAVIX
269,09-Apr-2010,18.06,18.85,18.03,18.6,19.58,-0.98,-5.01,INDIAVIX
270,12-Apr-2010,17.29,20.59,17.29,19.97,18.6,1.37,7.37,INDIAVIX
271,13-Apr-2010,18.96,20.39,18.96,20.1,19.97,0.13,0.65,INDIAVIX
272,15-Apr-2010,17.76,21.58,17.76,21.43,20.1,1.33,6.62,INDIAVIX
273,16-Apr-2010,20.43,22.04,20.43,21.63,21.43,0.2,0.93,INDIAVIX
274,19-Apr-2010,21.63,23.27,21.19,22.72,21.63,1.09,5.04,INDIAVIX
275,20-Apr-2010,22.72,22.72,20.81,20.82,22.72,-1.9,-8.36,INDIAVIX
276,21-Apr-2010,18.9,20.39,18.9,19.78,20.82,-1.04,-5.0,INDIAVIX
277,22-Apr-2010,19.9,21.16,19.31,20.53,19.78,0.75,3.79,INDIAVIX
278,23-Apr-2010,19.1,20.91,19.08,20.35,20.53,-0.18,-0.88,INDIAVIX
279,26-Apr-2010,19.0,20.66,18.94,19.82,20.35,-0.53,-2.6,INDIAVIX
280,27-Apr-2010,19.82,20.09,19.64,19.82,19.82,0.0,0.0,INDIAVIX
