,Date ,Open ,High ,Low ,Close ,Prev. Close ,Change ,% Change,Symbol
0,02-Mar-2009,43.19,43.38,41.44,43.17,-,0.0,0.0,INDIAVIX
1,03-Mar-2009,43.17,43.9,41.2,43.89,       43.1700,0.72,1.67,INDIAVIX
2,04-Mar-2009,43.89,43.89,42.16,42.52,       43.8900,-1.37,-3.12,INDIAVIX
3,05-Mar-2009,42.52,42.71,40.41,41.49,       42.5200,-1.03,-2.42,INDIAVIX
4,06-Mar-2009,41.49,41.49,37.57,38.16,       41.4900,-3.33,-8.03,INDIAVIX
5,09-Mar-2009,38.16,41.14,38.16,40.87,       38.1600,2.71,7.1,INDIAVIX
6,12-Mar-2009,40.87,40.87,38.5,39.27,       40.8700,-1.6,-3.91,INDIAVIX
7,13-Mar-2009,39.27,39.27,35.08,35.56,       39.2700,-3.71,-9.45,INDIAVIX
8,16-Mar-2009,35.56,37.88,35.56,36.7,       35.5600,1.14,3.21,INDIAVIX
9,17-Mar-2009,36.7,38.76,34.85,38.43,       36.7000,1.73,4.71,INDIAVIX
10,18-Mar-2009,38.43,38.86,36.99,38.15,       38.4300,-0.28,-0.73,INDIAVIX
11,19-Mar-2009,38.15,38.6,36.65,37.74,       38.1500,-0.41,-1.07,INDIAVIX
12,20-Mar-2009,37.74,37.99,34.98,37.0,       37.7400,-0.74,-1.96,INDIAVIX
13,23-Mar-2009,37.0,38.6,36.62,38.59,       37.0000,1.59,4.3,INDIAVIX
14,24-Mar-2009,38.59,39.86,36.34,38.02,       38.5900,-0.57,-1.48,INDIAVIX
15,25-Mar-2009,38.02,41.7,35.94,37.41,       38.0200,-0.61,-1.6,INDIAVIX
16,26-Mar-2009,37.41,40.2,36.52,37.23,       37.4100,-0.18,-0.48,INDIAVIX
17,27-Mar-2009,37.23,40.34,36.79,37.58,       37.2300,0.35,0.94,INDIAVIX
18,30-Mar-2009,37.58,41.31,37.58,40.09,       37.5800,2.51,6.68,INDIAVIX
19,31-Mar-2009,40.09,41.03,39.16,39.49,       40.0900,-0.6,-1.5,INDIAVIX
20,01-Apr-2009,39.49,39.49,36.42,36.44,       39.4900,-3.05,-7.72,INDIAVIX
21,02-Apr-2009,36.44,37.82,34.26,37.37,       36.4400,0.93,2.55,INDIAVIX
22,06-Apr-2009,37.37,42.4,36.44,41.02,       37.3700,3.65,9.77,INDIAVIX
23,08-Apr-2009,41.02,43.54,39.64,43.29,       41.0200,2.27,5.53,INDIAVIX
24,09-Apr-2009,43.29,44.35,40.34,43.21,       43.2900,-0.08,-0.18,INDIAVIX
25,13-Apr-2009,43.21,47.32,42.98,46.57,       43.2100,3.36,7.78,INDIAVIX
26,15-Apr-2009,46.57,48.91,44.31,47.59,       46.5700,1.02,2.19,INDIAVIX
27,16-Apr-2009,47.59,51.55,44.47,50.1,       47.5900,2.51,5.27,INDIAVIX
28,17-Apr-2009,50.1,51.58,44.98,50.65,       50.1000,0.55,1.1,INDIAVIX
29,20-Apr-2009,50.65,55.6,44.57,54.41,       50.6500,3.76,7.42,INDIAVIX
30,21-Apr-2009,54.41,54.99,50.38,53.27,       54.4100,-1.14,-2.1,INDIAVIX
