,Date,Instrument,Symbol,Expiry_Date,Open_Price,High_Price,Low_Price,Close_Price,Daily_Settlement_Price,Open_Interest,No_of_Contracts,Turnover
0,2018-12-31,FUTBLN,GOLD,05-02-2019,31583.0,31585.0,31314.0,31385.0,31791.0,134,41,12.88
1,2018-12-28,FUTBLN,GOLD,05-02-2019,31644.0,31710.0,31625.0,31636.0,31767.0,136,17,5.38
2,2018-12-27,FUTBLN,GOLD,05-02-2019,31550.0,31705.0,31550.0,31666.0,31763.0,137,20,6.33
3,2018-12-26,FUTBLN,GOLD,05-02-2019,31569.0,31624.0,31502.0,31614.0,31669.0,135,43,13.57
4,2018-12-24,FUTBLN,GOLD,05-02-2019,31406.0,31431.0,31295.0,31317.0,31446.0,135,28,8.77
5,2018-12-21,FUTBLN,GOLD,05-02-2019,31162.0,31387.0,31158.0,31290.0,31446.0,135,68,21.26
6,2018-12-20,FUTBLN,GOLD,05-02-2019,31129.0,31165.0,31014.0,31075.0,31318.0,137,57,17.73
7,2018-12-19,FUTBLN,GOLD,05-02-2019,31078.0,31332.0,31072.0,31329.0,31324.0,140,100,31.15
8,2018-12-18,FUTBLN,GOLD,05-02-2019,31546.0,31560.0,31173.0,31173.0,31173.0,140,124,38.94
9,2018-12-17,FUTBLN,GOLD,05-02-2019,31459.0,31461.0,31420.0,31441.0,31600.0,161,41,12.89
10,2018-12-14,FUTBLN,GOLD,05-02-2019,31571.0,31628.0,31513.0,31589.0,31707.0,161,79,24.93
11,2018-12-13,FUTBLN,GOLD,05-02-2019,31644.0,31696.0,31538.0,31548.0,31745.0,173,89,28.14
12,2018-12-12,FUTBLN,GOLD,05-02-2019,31806.0,31833.0,31779.0,31813.0,31908.0,171,40,12.72
13,2018-12-11,FUTBLN,GOLD,05-02-2019,31852.0,31980.0,31784.0,31891.0,31973.0,166,56,17.84
14,2018-12-10,FUTBLN,GOLD,05-02-2019,31591.0,32089.0,31535.0,32026.0,31775.0,164,99,31.43
15,2018-12-07,FUTBLN,GOLD,05-02-2019,31069.0,31470.0,31058.0,31470.0,31371.0,153,44,13.71
16,2018-12-06,FUTBLN,GOLD,05-02-2019,31244.0,31268.0,31080.0,31220.0,31392.0,151,64,19.95
17,2018-12-05,FUTBLN,GOLD,05-02-2019,30967.0,30998.0,30914.0,30998.0,31260.0,152,46,14.24
18,2018-12-04,FUTBLN,GOLD,05-02-2019,30934.0,31120.0,30933.0,31085.0,31085.0,153,93,28.83
19,2018-12-03,FUTBLN,GOLD,05-12-2018,30615.0,30701.0,30615.0,30701.0,30666.0,1,9,2.76
20,2018-12-03,FUTBLN,GOLD,05-02-2019,30485.0,30862.0,30473.0,30862.0,31059.0,155,35,10.75
21,2018-11-30,FUTBLN,GOLD,05-12-2018,30185.0,30195.0,30149.0,30149.0,30289.0,9,22,6.64
22,2018-11-30,FUTBLN,GOLD,05-02-2019,30375.0,30405.0,30266.0,30303.0,30679.0,151,80,24.27
23,2018-11-29,FUTBLN,GOLD,05-12-2018,30305.0,30306.0,30272.0,30276.0,30403.0,21,15,4.54
