Date	Price	Open	High	Low	Volume	Chg%
Mar 27, 2020	70.3850	71.5325	73.0300	65.6325	0	-1.60%
Mar 26, 2020	71.5325	77.6250	79.4050	70.6750	0	-7.85%
Mar 25, 2020	77.6250	83.6075	84.5975	75.9725	0	-7.16%
Mar 24, 2020	83.6075	71.9850	86.6350	71.9850	0	16.15%
Mar 23, 2020	71.9850	67.1000	73.3675	66.3175	0	7.28%
Mar 20, 2020	67.1000	72.1975	72.9650	65.3800	0	-7.06%
Mar 19, 2020	72.1975	63.9550	73.3425	63.0950	0	12.89%
Mar 18, 2020	63.9550	62.9250	64.5775	61.1525	0	1.64%
Mar 17, 2020	62.9250	58.8750	63.4400	57.2500	0	6.88%
Mar 16, 2020	58.8750	51.4725	59.8650	51.4725	0	14.38%
Mar 13, 2020	51.4725	41.1625	59.4825	41.1625	0	25.05%
Mar 12, 2020	41.1625	31.5550	42.3275	29.8100	0	30.45%
Mar 11, 2020	31.5550	30.8000	33.2375	29.6500	0	2.45%
Mar 09, 2020	30.8000	25.6425	34.3550	21.4250	0	20.11%
Mar 06, 2020	25.6425	23.2475	27.5500	23.2475	0	10.30%
Mar 05, 2020	23.2475	24.2250	24.2250	22.1250	0	-4.04%
Mar 04, 2020	24.2250	24.5425	26.2875	22.4250	0	-1.29%
Mar 03, 2020	24.5425	25.2025	26.4900	21.5425	0	-2.62%
Mar 02, 2020	25.2025	23.2350	26.3425	19.9200	0	8.47%
Feb 28, 2020	23.2350	17.7650	23.6975	17.4825	0	30.79%
Feb 27, 2020	17.7650	18.2600	19.1550	16.8275	0	-2.71%
Feb 26, 2020	18.2600	16.8975	18.8650	16.5025	0	8.06%
Feb 25, 2020	16.8975	16.9975	17.3175	15.6200	0	-0.59%
Feb 24, 2020	16.9975	13.7000	17.3750	12.2950	0	24.07%
Feb 20, 2020	13.7000	14.0225	14.0275	10.1650	0	-2.30%
Feb 19, 2020	14.0225	14.5100	14.5100	13.4825	0	-3.36%
Feb 18, 2020	14.5100	14.4150	14.8200	11.3750	0	0.66%
Feb 17, 2020	14.4150	13.6150	14.6175	13.3800	0	5.88%
Feb 14, 2020	13.6150	13.3700	13.9875	11.9025	0	1.83%
Feb 13, 2020	13.3700	13.6225	13.6725	11.8000	0	-1.85%
Feb 12, 2020	13.6225	13.8800	13.8800	13.1475	0	-1.86%
Feb 11, 2020	13.8800	14.2100	14.2100	11.3750	0	-2.32%
