Date	Price	Open	High	Low	Volume	Chg%
Feb 10, 2020	14.2100	13.7475	14.6000	12.9650	0	3.36%
Feb 07, 2020	13.7475	13.7800	13.9925	12.9750	0	-0.24%
Feb 06, 2020	13.7800	14.1725	14.2425	12.6450	0	-2.77%
Feb 05, 2020	14.1725	14.3800	14.5250	13.8175	0	-1.44%
Feb 04, 2020	14.3800	15.7825	15.7825	14.3100	0	-8.89%
Feb 03, 2020	15.7825	16.8350	17.0300	15.4825	0	-6.25%
Feb 01, 2020	16.8350	16.8600	17.9150	16.0350	0	-3.07%
Jan 31, 2020	17.3675	16.7975	17.5900	14.9025	0	3.39%
Jan 30, 2020	16.7975	16.4975	17.1400	15.3800	0	1.82%
Jan 29, 2020	16.4975	17.2975	17.2975	15.6525	0	-4.62%
Jan 28, 2020	17.2975	17.1750	17.6150	16.9575	0	0.71%
Jan 27, 2020	17.1750	15.5600	17.3400	14.6825	0	10.38%
Jan 24, 2020	15.5600	15.8550	16.2150	14.5925	0	-1.86%
Jan 23, 2020	15.8550	16.3600	16.7075	15.7775	0	-3.09%
Jan 22, 2020	16.3600	15.8625	16.6100	15.3575	0	3.14%
Jan 21, 2020	15.8625	15.4100	16.0400	15.0725	0	2.94%
Jan 20, 2020	15.4100	14.1275	15.4950	12.4650	0	9.08%
Jan 17, 2020	14.1275	14.1825	14.5300	12.5025	0	-0.39%
Jan 16, 2020	14.1825	14.1200	14.3650	12.5975	0	0.44%
Jan 15, 2020	14.1200	13.9125	14.4575	13.5850	0	1.49%
Jan 14, 2020	13.9125	14.2750	14.2750	13.0625	0	-2.54%
Jan 13, 2020	14.2750	14.0775	14.4950	13.5775	0	1.40%
Jan 10, 2020	14.0775	13.9975	14.2450	13.1775	0	0.57%
Jan 09, 2020	13.9975	15.6400	15.6400	12.9950	0	-10.50%
Jan 08, 2020	15.6400	14.6100	16.3875	13.7925	0	7.05%
Jan 07, 2020	14.6100	14.7775	14.9125	14.4625	0	-1.13%
Jan 06, 2020	14.7775	12.6950	15.0950	12.6950	0	16.40%
Jan 03, 2020	12.6950	11.4900	12.9400	10.6850	0	10.49%
Jan 02, 2020	11.4900	11.5975	11.7000	10.7300	0	-0.93%
Jan 01, 2020	11.5975	11.6675	11.7300	11.0850	0	-0.60%
Dec 31, 2019	11.6675	11.0075	11.7925	10.4400	0	6.00%
Dec 30, 2019	11.0075	10.5250	11.4525	9.6175	0	4.58%
Dec 27, 2019	10.5250	11.1225	11.4675	10.4250	0	-5.37%
Dec 26, 2019	11.1225	11.6250	12.3475	10.8425	0	-4.32%
Dec 24, 2019	11.6250	11.9575	13.3100	10.8875	0	-2.78%
Dec 23, 2019	11.9575	12.3250	14.5050	10.6950	0	-2.98%
Dec 20, 2019	12.3250	12.1225	12.7325	11.9025	0	1.67%
Dec 19, 2019	12.1225	12.3375	12.4150	11.3250	0	-1.74%
Dec 18, 2019	12.3375	12.5175	12.7150	11.3900	0	-1.44%
Dec 17, 2019	12.5175	13.4150	13.4250	11.9550	0	-6.69%
Dec 16, 2019	13.4150	13.3000	14.1100	12.5000	0	0.86%
Dec 13, 2019	13.3000	13.3475	14.6700	12.1850	0	-0.36%
Dec 12, 2019	13.3475	13.3775	13.7650	11.8250	0	-0.22%
Dec 11, 2019	13.3775	14.2900	14.4475	11.7100	0	-6.39%
Dec 10, 2019	14.2900	14.5975	15.6625	11.7350	0	-2.11%
Dec 09, 2019	14.5975	13.6400	15.3625	12.4650	0	7.02%
Dec 06, 2019	13.6400	14.3050	14.7225	11.4075	0	-4.65%
Dec 05, 2019	14.3050	13.3225	15.1200	12.8275	0	7.37%
Dec 04, 2019	13.3225	14.5625	15.8725	12.2625	0	-8.52%
Dec 03, 2019	14.5625	14.2025	16.3425	12.0700	0	2.53%
Dec 02, 2019	14.2025	13.8975	15.8450	13.4975	0	2.19%
Nov 29, 2019	13.8975	13.9875	14.2925	13.1400	0	-0.64%
Nov 28, 2019	13.9875	14.6175	14.6175	12.8875	0	-4.31%
Nov 27, 2019	14.6175	14.8375	14.8375	12.3575	0	-1.48%
Nov 26, 2019	14.8375	15.0025	15.1275	13.1075	0	-1.10%
Nov 25, 2019	15.0025	14.8725	15.2125	13.0000	0	0.87%
Nov 22, 2019	14.8725	14.9750	15.8775	12.2375	0	-0.68%
Nov 21, 2019	14.9750	15.1600	15.5950	12.6100	0	-1.22%
Nov 20, 2019	15.1600	15.4125	15.4125	11.6075	0	-1.64%
Nov 19, 2019	15.4125	15.7550	15.7550	12.6100	0	-2.17%
Nov 18, 2019	15.7550	15.0300	16.0650	12.6650	0	4.82%
Nov 15, 2019	15.0300	15.6500	15.6500	12.5225	0	-3.96%
Nov 14, 2019	15.6500	16.4625	16.4625	14.0925	0	-4.94%
Nov 13, 2019	16.4625	16.2500	16.6700	14.4725	0	1.31%
Nov 11, 2019	16.2500	15.8550	16.7650	15.1950	0	2.49%
Nov 08, 2019	15.8550	15.2075	15.9900	13.7100	0	4.26%
Nov 07, 2019	15.2075	15.7750	15.9225	13.5250	0	-3.60%
Nov 06, 2019	15.7750	15.9175	16.1525	13.3825	0	-0.90%
Nov 05, 2019	15.9175	15.9250	16.3400	13.5075	0	-0.05%
Nov 04, 2019	15.9250	15.7325	16.3650	13.4950	0	1.22%
Nov 01, 2019	15.7325	16.2800	16.4725	15.1675	0	-3.36%
Oct 31, 2019	16.2800	16.6575	16.7950	15.5025	0	-2.27%
Oct 30, 2019	16.6575	16.4200	16.8450	16.2525	0	1.45%
Oct 29, 2019	16.4200	15.5850	16.5475	15.4975	0	7.22%
Oct 25, 2019	15.3150	16.2400	16.2400	15.1950	0	-5.70%
Oct 24, 2019	16.2400	16.5350	16.7800	14.7125	0	-1.78%
Oct 23, 2019	16.5350	16.8100	16.8500	14.8300	0	-1.64%
Oct 22, 2019	16.8100	15.9275	17.1225	13.5725	0	5.54%
Oct 18, 2019	15.9275	15.8775	16.1525	14.9900	0	0.31%
Oct 17, 2019	15.8775	16.3600	16.3600	15.5175	0	-2.95%
Oct 16, 2019	16.3600	16.8500	16.9525	15.4950	0	-2.91%
Oct 15, 2019	16.8500	17.4300	17.4300	16.6925	0	-3.33%
Oct 14, 2019	17.4300	17.1400	17.9625	17.0625	0	1.69%
Oct 11, 2019	17.1400	17.2275	18.2800	15.7775	0	-0.51%
Oct 10, 2019	17.2275	17.1550	17.5400	15.7275	0	0.42%
Oct 09, 2019	17.1550	17.8300	18.3275	16.3350	0	-3.79%
Oct 07, 2019	17.8300	17.5800	18.4275	16.9925	0	1.42%
Oct 04, 2019	17.5800	17.7025	17.9450	16.3475	0	-0.69%
Oct 03, 2019	17.7025	16.7575	18.0450	16.4175	0	5.64%
Oct 01, 2019	16.7575	15.8725	18.2175	14.9475	0	5.58%
Sep 30, 2019	15.8725	16.1150	16.5100	15.8000	0	-1.50%
Sep 27, 2019	16.1150	16.3425	16.8175	15.9275	0	-1.39%
Sep 26, 2019	16.3425	16.1700	17.0100	13.6400	0	1.07%
Sep 25, 2019	16.1700	16.7325	17.4150	14.1025	0	-3.36%
Sep 24, 2019	16.7325	16.7925	18.5325	15.8975	0	-0.36%
Sep 23, 2019	16.7925	15.4000	17.6400	14.2100	0	9.04%
Sep 20, 2019	15.4000	15.5500	17.0450	13.8275	0	-0.96%
Sep 19, 2019	15.5500	15.3525	15.9650	14.1775	0	1.29%
Sep 18, 2019	15.3525	16.0175	16.1875	13.9050	0	-4.15%
Sep 17, 2019	16.0175	14.9525	16.3075	13.2775	0	7.12%
Sep 16, 2019	14.9525	14.1200	15.3075	14.1175	0	5.90%
Sep 13, 2019	14.1200	14.9000	15.1950	13.8875	0	-5.23%
Sep 12, 2019	14.9000	15.3725	15.3725	14.6075	0	-3.07%
Sep 11, 2019	15.3725	15.8525	15.8525	14.6475	0	-3.03%
Sep 09, 2019	15.8525	16.2750	16.6425	13.6650	0	-2.60%
Sep 06, 2019	16.2750	17.2725	17.2725	15.8850	0	-5.78%
Sep 05, 2019	17.2725	17.2350	17.7025	16.0575	0	0.22%
Sep 04, 2019	17.2350	18.0550	18.3100	17.1275	0	-4.54%
Sep 03, 2019	18.0550	16.2825	18.2700	16.2825	0	10.89%
Aug 30, 2019	16.2825	16.4250	17.3750	15.1900	0	-0.87%
Aug 29, 2019	16.4250	16.8350	17.4450	13.8725	0	-2.44%
Aug 28, 2019	16.8350	16.0100	17.3750	14.1200	0	5.15%
Aug 27, 2019	16.0100	16.6550	16.8325	14.4200	0	-3.87%
Aug 26, 2019	16.6550	17.3475	19.1450	13.7000	0	-3.99%
Aug 23, 2019	17.3475	17.8525	18.2625	13.7025	0	-2.83%
Aug 22, 2019	17.8525	17.0225	18.1225	14.4925	0	4.88%
Aug 21, 2019	17.0225	16.6325	17.3275	14.0000	0	2.34%
Aug 20, 2019	16.6325	16.7475	17.0950	15.1050	0	-0.69%
Aug 19, 2019	16.7475	16.6475	17.0250	14.7100	0	0.60%
Aug 16, 2019	16.6475	16.3575	17.4275	15.9925	0	1.77%
Aug 14, 2019	16.3575	17.7775	17.7775	16.1100	0	-7.99%
Aug 13, 2019	17.7775	15.8450	18.0050	15.1175	0	12.20%
Aug 09, 2019	15.8450	16.0925	16.1625	15.0275	0	-1.54%
Aug 08, 2019	16.0925	16.7400	16.7400	15.5150	0	-3.87%
Aug 07, 2019	16.7400	16.1200	16.9125	15.7375	0	3.85%
Aug 06, 2019	16.1200	16.5850	16.7850	15.5925	0	-2.80%
Aug 05, 2019	16.5850	15.1875	17.8200	15.1875	0	9.20%
Aug 02, 2019	15.1875	14.5575	16.1575	14.4350	0	4.33%
Aug 01, 2019	14.5575	13.5900	15.2800	13.2725	0	7.12%
Jul 31, 2019	13.5900	13.6125	14.5450	13.4150	0	-0.17%
Jul 30, 2019	13.6125	13.0625	13.8675	12.5000	0	4.21%
Jul 29, 2019	13.0625	12.1325	13.5325	12.0375	0	7.67%
Jul 26, 2019	12.1325	12.6350	13.3100	11.9225	0	-3.98%
Jul 25, 2019	12.6350	12.7600	13.5500	11.9975	0	-0.98%
Jul 24, 2019	12.7600	13.4275	14.4825	11.8500	0	-4.97%
Jul 23, 2019	13.4275	13.0100	13.7800	11.5900	0	3.21%
Jul 22, 2019	13.0100	12.5150	13.4025	11.5625	0	3.96%
Jul 19, 2019	12.5150	11.7500	12.6750	10.5925	0	6.51%
Jul 18, 2019	11.7500	11.8000	11.9825	9.2225	0	-0.42%
Jul 17, 2019	11.8000	11.5600	11.9100	9.1625	0	2.08%
Jul 16, 2019	11.5600	12.0200	12.0200	11.0625	0	-3.83%
Jul 15, 2019	12.0200	11.9975	12.5175	10.6425	0	0.19%
Jul 12, 2019	11.9975	12.4700	12.5500	11.5500	0	-3.79%
Jul 11, 2019	12.4700	13.6350	13.6350	12.1775	0	-8.54%
Jul 10, 2019	13.6350	13.6875	13.9625	12.3950	0	-0.38%
Jul 09, 2019	13.6875	13.8525	14.2200	13.3525	0	-1.19%
Jul 08, 2019	13.8525	13.0650	14.0425	12.1075	0	6.03%
Jul 05, 2019	13.0650	13.5300	13.9650	12.6650	0	-3.44%
Jul 04, 2019	13.5300	13.6950	13.6950	13.0125	0	-1.20%
Jul 03, 2019	13.6950	14.2500	14.3200	13.5200	0	-3.89%
Jul 02, 2019	14.2500	14.6025	14.8325	14.0250	0	-2.41%
Jul 01, 2019	14.6025	14.9525	15.0200	14.4725	0	-2.34%
Jun 28, 2019	14.9525	14.6450	15.0725	13.9950	0	2.10%
Jun 27, 2019	14.6450	14.7500	14.8875	13.6475	0	-0.71%
Jun 26, 2019	14.7500	15.0100	15.1950	14.3900	0	-1.73%
Jun 25, 2019	15.0100	15.2225	15.5850	14.9275	0	-1.40%
Jun 24, 2019	15.2225	14.6100	15.6650	11.8550	0	4.19%
Jun 21, 2019	14.6100	14.0000	14.8325	10.6025	0	4.36%
Jun 20, 2019	14.0000	14.7300	15.1875	12.8350	0	-4.96%
Jun 19, 2019	14.7300	14.6000	15.3000	10.7900	0	0.89%
Jun 18, 2019	14.6000	14.6500	14.9700	11.7375	0	-0.34%
Jun 17, 2019	14.6500	13.8950	14.9600	13.5200	0	5.43%
Jun 14, 2019	13.8950	13.6600	14.1175	12.6425	0	1.72%
Jun 13, 2019	13.6600	14.1225	14.2925	13.2775	0	-3.27%
Jun 12, 2019	14.1225	14.4900	14.7100	13.3100	0	-2.54%
Jun 11, 2019	14.4900	14.9750	14.9750	13.4800	0	-3.24%
Jun 10, 2019	14.9750	14.8575	15.4525	13.4475	0	0.79%
Jun 07, 2019	14.8575	15.5250	15.7300	13.6275	0	-4.30%
Jun 06, 2019	15.5250	15.6275	15.9250	13.9750	0	-0.66%
Jun 04, 2019	15.6275	15.9675	15.9675	14.6675	0	-2.13%
Jun 03, 2019	15.9675	16.0675	16.2325	14.0750	0	-0.62%
May 31, 2019	16.0675	15.6100	16.7875	14.1900	0	2.93%
May 30, 2019	15.6100	16.4075	16.4075	14.8525	0	-4.86%
May 29, 2019	16.4075	15.9225	16.5075	14.4775	0	3.05%
May 28, 2019	15.9225	16.1900	16.5400	15.3800	0	-1.65%
May 27, 2019	16.1900	16.4675	17.3350	13.4800	0	-1.69%
May 24, 2019	16.4675	19.4050	19.4050	14.4925	0	-15.14%
May 23, 2019	19.4050	27.6325	27.6325	18.9575	0	-29.77%
May 22, 2019	27.6325	25.6525	30.1825	19.0400	0	7.72%
May 21, 2019	25.6525	23.6750	28.1025	20.2425	0	8.35%
May 20, 2019	23.6750	28.0750	28.0750	19.7600	0	-15.67%
May 17, 2019	28.0750	28.3700	29.2325	25.4975	0	-1.04%
May 16, 2019	28.3700	28.6575	29.3275	23.7825	0	-1.00%
May 15, 2019	28.6575	27.1325	29.0825	23.1800	0	5.62%
May 14, 2019	27.1325	27.3825	27.7600	22.3900	0	-0.91%
May 13, 2019	27.3825	26.3350	28.0625	23.7125	0	3.98%
May 10, 2019	26.3350	25.4850	26.5250	24.5350	0	3.34%
May 09, 2019	25.4850	26.3650	26.4950	23.4850	0	-3.34%
May 08, 2019	26.3650	26.4775	27.0250	23.2450	0	-0.42%
May 07, 2019	26.4775	26.4325	26.8100	23.0925	0	0.17%
May 06, 2019	26.4325	24.0325	27.8350	19.7400	0	9.99%
May 03, 2019	24.0325	22.9825	24.1525	21.0975	0	4.57%
May 02, 2019	22.9825	21.8275	23.2650	21.7675	0	5.29%
Apr 30, 2019	21.8275	21.7175	22.7750	20.7600	0	0.51%
Apr 26, 2019	21.7175	23.2325	23.9625	21.4325	0	-6.52%
Apr 25, 2019	23.2325	23.7125	25.5350	22.7275	0	-2.02%
Apr 24, 2019	23.7125	24.6450	25.1250	23.4450	0	-3.78%
Apr 23, 2019	24.6450	24.0500	26.3175	22.7775	0	2.47%
Apr 22, 2019	24.0500	22.7350	24.5625	20.4075	0	5.78%
Apr 18, 2019	22.7350	21.6925	23.0450	18.5000	0	4.81%
Apr 16, 2019	21.6925	21.3875	21.8850	19.6725	0	1.43%
Apr 15, 2019	21.3875	20.9975	22.2400	18.7600	0	1.86%
Apr 12, 2019	20.9975	20.9575	21.3025	18.6750	0	0.19%
Apr 11, 2019	20.9575	21.1300	21.3400	19.4125	0	-0.82%
Apr 10, 2019	21.1300	20.2800	21.2800	18.7000	0	4.19%
Apr 09, 2019	20.2800	20.1525	20.6625	16.5500	0	0.63%
Apr 08, 2019	20.1525	18.3925	20.4575	18.3925	0	9.57%
Apr 05, 2019	18.3925	18.6500	19.0750	16.7625	0	-1.38%
Apr 04, 2019	18.6500	18.7825	19.3250	18.2500	0	-0.71%
Apr 03, 2019	18.7825	18.0825	18.8825	17.2900	0	3.87%
Apr 02, 2019	18.0825	18.0050	18.5525	17.4400	0	0.43%
Apr 01, 2019	18.0050	17.1850	18.2200	17.1850	0	4.77%
Mar 29, 2019	17.1850	16.6525	17.4300	16.2375	0	3.20%
Mar 28, 2019	16.6525	17.0475	17.3325	15.7500	0	-2.32%
Mar 27, 2019	17.0475	16.4850	17.4225	14.5450	0	3.41%
Mar 26, 2019	16.4850	16.6725	16.6725	15.5175	0	-1.12%
Mar 25, 2019	16.6725	16.2750	17.0275	14.2575	0	2.44%
Mar 22, 2019	16.2750	16.0325	16.8050	12.6750	0	1.51%
Mar 20, 2019	16.0325	16.4925	16.4925	14.4850	0	-2.79%
Mar 19, 2019	16.4925	16.9000	17.1775	14.5500	0	-2.41%
Mar 18, 2019	16.9000	15.8650	17.1875	14.2675	0	6.52%
Mar 15, 2019	15.8650	15.1500	16.3925	11.8450	0	4.72%
Mar 14, 2019	15.1500	15.2775	15.5225	13.7625	0	-0.83%
Mar 13, 2019	15.2775	15.0975	15.5950	12.3000	0	1.19%
Mar 12, 2019	15.0975	14.8950	15.1975	13.8400	0	1.36%
Mar 11, 2019	14.8950	14.9400	15.3800	13.6700	0	-0.30%
Mar 08, 2019	14.9400	15.2925	15.4125	12.9200	0	-2.31%
Mar 07, 2019	15.2925	15.6100	15.6875	14.3125	0	-2.03%
Mar 06, 2019	15.6100	15.6575	15.7350	14.2875	0	-0.30%
Mar 05, 2019	15.6575	16.2750	16.8600	15.4500	0	-3.79%
Mar 01, 2019	16.2750	18.2775	18.2775	15.8950	0	-10.96%
Feb 28, 2019	18.2775	18.8975	18.8975	17.0650	0	-3.28%
Feb 27, 2019	18.8975	17.1150	19.9775	14.1300	0	10.41%
Feb 26, 2019	17.1150	15.3575	18.0975	13.1200	0	11.44%
Feb 25, 2019	15.3575	15.4500	16.0350	11.7000	0	-0.60%
Feb 22, 2019	15.4500	16.0525	16.0525	12.3150	0	-3.75%
Feb 21, 2019	16.0525	17.0550	17.1725	12.1275	0	-5.88%
Feb 20, 2019	17.0550	18.4675	18.4675	15.2375	0	-7.65%
Feb 19, 2019	18.4675	18.0000	18.6050	15.2575	0	2.60%
Feb 18, 2019	18.0000	16.4600	18.1925	11.8500	0	9.36%
Feb 15, 2019	16.4600	15.7725	17.5350	12.4475	0	4.36%
Feb 14, 2019	15.7725	15.7300	16.5775	12.0900	0	0.27%
Feb 13, 2019	15.7300	15.7500	15.9025	11.8100	0	-0.13%
Feb 12, 2019	15.7500	15.8400	15.9750	13.2300	0	-0.57%
Feb 11, 2019	15.8400	15.5675	16.3550	13.4600	0	1.75%
Feb 08, 2019	15.5675	15.4350	15.8150	12.9675	0	0.86%
Feb 07, 2019	15.4350	15.6300	16.2225	13.5975	0	-1.25%
Feb 06, 2019	15.6300	15.7800	15.9725	12.8325	0	-0.95%
Feb 05, 2019	15.7800	15.7225	15.9775	14.6050	0	0.37%
Feb 04, 2019	15.7225	15.7200	16.4525	14.9675	0	0.02%
Feb 01, 2019	15.7200	17.1225	17.1850	15.5450	0	-8.19%
Jan 31, 2019	17.1225	17.8500	17.8500	16.4450	0	-4.08%
Jan 30, 2019	17.8500	18.4275	18.4275	15.9775	0	-3.13%
Jan 29, 2019	18.4275	18.8975	19.7950	18.0400	0	-2.49%
Jan 28, 2019	18.8975	17.6900	19.2800	14.5875	0	6.83%
Jan 25, 2019	17.6900	17.4350	18.1400	14.3650	0	1.46%
Jan 24, 2019	17.4350	18.0850	18.3775	14.5425	0	-3.59%
Jan 23, 2019	18.0850	17.9850	18.2875	12.0150	0	0.56%
Jan 22, 2019	17.9850	18.1475	18.4725	15.5100	0	-0.90%
Jan 21, 2019	18.1475	16.6175	18.3400	14.3600	0	9.21%
Jan 18, 2019	16.6175	16.2425	16.9050	12.3075	0	2.31%
Jan 17, 2019	16.2425	16.0775	16.4275	12.9925	0	1.03%
Jan 16, 2019	16.0775	15.5825	16.3075	12.8000	0	3.18%
Jan 15, 2019	15.5825	16.1575	16.1575	12.9925	0	-3.56%
Jan 14, 2019	16.1575	15.3525	16.5525	15.3525	0	5.24%
Jan 11, 2019	15.3525	15.3450	15.8300	14.3625	0	0.05%
Jan 10, 2019	15.3450	15.2700	15.6075	14.1475	0	0.49%
Jan 09, 2019	15.2700	15.7000	16.3225	13.8950	0	-2.74%
Jan 08, 2019	15.7000	16.3025	16.5725	14.7350	0	-3.70%
Jan 07, 2019	16.3025	16.1625	16.4550	15.3025	0	0.87%
Jan 04, 2019	16.1625	16.7900	16.9725	15.4850	0	-3.74%
Jan 03, 2019	16.7900	16.3875	17.1475	15.4350	0	2.46%
Jan 02, 2019	16.3875	15.3250	16.9475	14.8375	0	6.93%
Jan 01, 2019	15.3250	16.0000	16.4000	15.1500	0	-4.22%
Dec 31, 2018	16.0000	15.2700	16.1525	14.6500	0	4.78%
Dec 28, 2018	15.2700	16.0725	16.0725	15.0150	0	-4.99%
Dec 27, 2018	16.0725	15.9200	16.3750	12.5625	0	0.96%
Dec 26, 2018	15.9200	15.7500	17.4775	14.8075	0	1.08%
Dec 24, 2018	15.7500	15.9925	17.1325	14.8975	0	-1.52%
Dec 21, 2018	15.9925	14.3325	16.2300	12.9400	0	11.58%
Dec 20, 2018	14.3325	14.6600	14.9175	13.7200	0	-2.23%
Dec 19, 2018	14.6600	14.5775	14.8650	11.8700	0	0.57%
Dec 18, 2018	14.5775	14.5400	15.3125	11.9825	0	0.26%
Dec 17, 2018	14.5400	15.1575	15.9125	13.8675	0	-4.07%
Dec 14, 2018	15.1575	15.5500	15.5975	12.6725	0	-2.52%
Dec 13, 2018	15.5500	15.8100	15.9050	11.9125	0	-1.64%
Dec 12, 2018	15.8100	17.9450	17.9450	15.4175	0	-11.90%
Dec 11, 2018	17.9450	20.4375	20.4375	17.2025	0	-12.20%
Dec 10, 2018	20.4375	18.5900	20.6450	16.8900	0	9.94%
Dec 07, 2018	18.5900	19.3050	19.6275	15.9825	0	-3.70%
Dec 06, 2018	19.3050	18.3900	19.5500	15.9100	0	4.98%
Dec 05, 2018	18.3900	18.1075	18.8275	16.6200	0	1.56%
Dec 04, 2018	18.1075	18.2225	19.6200	16.9050	0	-0.63%
Dec 03, 2018	18.2225	19.1625	19.6050	16.3100	0	-4.91%
Nov 30, 2018	19.1625	18.6975	19.9150	16.8100	0	2.49%
Nov 29, 2018	18.6975	17.9600	18.8500	14.9300	0	4.11%
Nov 28, 2018	17.9600	18.3150	19.3550	16.6725	0	-1.94%
Nov 27, 2018	18.3150	20.4025	20.4025	16.6050	0	-10.23%
Nov 26, 2018	20.4025	19.1600	20.5275	15.0175	0	6.48%
Nov 22, 2018	19.1600	19.5550	20.0025	17.0875	0	-2.02%
Nov 21, 2018	19.5550	19.3275	20.0975	15.5400	0	1.18%
Nov 20, 2018	19.3275	19.2550	19.6475	18.2525	0	0.38%
Nov 19, 2018	19.2550	18.3500	19.6500	13.5150	0	4.93%
Nov 16, 2018	18.3500	18.4550	18.8675	16.8975	0	-0.57%
Nov 15, 2018	18.4550	18.8250	18.9150	15.4975	0	-1.97%
Nov 14, 2018	18.8250	18.6950	19.5075	14.7700	0	0.70%
Nov 13, 2018	18.6950	19.3675	19.6850	17.1225	0	-3.47%
Nov 12, 2018	19.3675	17.7650	19.4625	16.4750	0	9.02%
Nov 09, 2018	17.7650	17.8775	18.7550	16.7550	0	0.24%
Nov 07, 2018	17.7225	18.5050	18.5050	16.8100	0	-4.23%
Nov 06, 2018	18.5050	19.4825	19.4825	16.1800	0	-5.02%
Nov 05, 2018	19.4825	18.2300	19.8225	17.7350	0	6.87%
Nov 02, 2018	18.2300	19.1925	19.1925	17.4850	0	-5.01%
Nov 01, 2018	19.1925	19.7975	20.1300	18.8975	0	-3.06%
Oct 31, 2018	19.7975	20.5025	22.8150	19.5750	0	-3.44%
Oct 30, 2018	20.5025	19.8250	20.7725	19.5500	0	3.42%
Oct 29, 2018	19.8250	19.2325	20.8125	19.2325	0	3.08%
Oct 26, 2018	19.2325	18.9625	21.0400	18.6600	0	1.42%
Oct 25, 2018	18.9625	18.8800	20.3300	18.4975	0	0.44%
Oct 24, 2018	18.8800	19.0375	19.8100	17.7125	0	-0.83%
Oct 23, 2018	19.0375	21.3575	22.3475	18.7625	0	-10.86%
Oct 22, 2018	21.3575	19.7875	21.6725	17.0800	0	7.93%
Oct 19, 2018	19.7875	17.9800	20.0525	17.4475	0	10.05%
Oct 17, 2018	17.9800	17.3725	18.2025	14.8425	0	3.50%
Oct 16, 2018	17.3725	18.8850	18.8850	14.2800	0	-8.01%
Oct 15, 2018	18.8850	18.6275	19.8225	15.9825	0	1.38%
Oct 12, 2018	18.6275	20.5475	20.5475	16.6725	0	-9.34%
Oct 11, 2018	20.5475	17.9075	20.8450	17.6275	0	14.74%
Oct 10, 2018	17.9075	19.7550	19.7550	17.7250	0	-9.35%
Oct 09, 2018	19.7550	20.1475	20.3575	17.4700	0	-1.95%
Oct 08, 2018	20.1475	19.7325	21.7650	18.4775	0	2.10%
Oct 05, 2018	19.7325	18.9150	20.4825	18.4525	0	4.32%
Oct 04, 2018	18.9150	18.1175	19.6850	17.4850	0	4.40%
Oct 03, 2018	18.1175	16.8350	18.6475	15.5750	0	7.62%
Oct 01, 2018	16.8350	16.9950	18.8625	16.2700	0	-0.94%
Sep 28, 2018	16.9950	16.9225	17.6925	15.9250	0	0.43%
Sep 27, 2018	16.9225	17.0875	17.3700	15.6025	0	-0.97%
Sep 26, 2018	17.0875	16.6825	17.5750	15.1000	0	2.43%
Sep 25, 2018	16.6825	17.4275	18.3100	16.2175	0	-4.27%
Sep 24, 2018	17.4275	15.5350	17.8550	13.8025	0	12.18%
Sep 21, 2018	15.5350	14.0050	16.9200	10.9825	0	10.92%
