"Date","Total Returns Index"
"01-Jan-2019","15114.9"
"02-Jan-2019","14951.96"
"03-Jan-2019","14785.38"
"04-Jan-2019","14861.69"
"07-Jan-2019","14923.27"
"08-Jan-2019","14965.34"
"09-Jan-2019","15038.74"
"10-Jan-2019","14992.23"
"11-Jan-2019","14955.33"
"14-Jan-2019","14875.92"
"15-Jan-2019","15082.59"
"16-Jan-2019","15087.41"
"17-Jan-2019","15109.54"
"18-Jan-2019","15111.95"
"21-Jan-2019","15188"
"22-Jan-2019","15133.83"
"23-Jan-2019","15007.4"
"24-Jan-2019","15038.07"
"25-Jan-2019","14942.09"
"28-Jan-2019","14777.11"
"29-Jan-2019","14764.59"
"30-Jan-2019","14764.02"
"31-Jan-2019","15012.34"
"01-Feb-2019","15099.21"
"04-Feb-2019","15125.02"
"05-Feb-2019","15155.99"
"06-Feb-2019","15337.8"
"07-Feb-2019","15347.41"
"08-Feb-2019","15173.02"
"11-Feb-2019","15100.61"
"12-Feb-2019","15023.02"
"13-Feb-2019","14970.62"
"14-Feb-2019","14906.26"
"15-Feb-2019","14876.27"
"18-Feb-2019","14760.48"
"19-Feb-2019","14709.75"
"20-Feb-2019","14891.6"
"21-Feb-2019","14970.12"
"22-Feb-2019","14972.58"
"25-Feb-2019","15095.33"
"26-Feb-2019","15033.15"
"27-Feb-2019","14993.45"
"28-Feb-2019","14979.39"
"01-Mar-2019","15077.91"
"05-Mar-2019","15249.97"
"06-Mar-2019","15340.93"
"07-Mar-2019","15348.14"
"08-Mar-2019","15316.51"
"11-Mar-2019","15500.61"
"12-Mar-2019","15685.41"
"13-Mar-2019","15742.86"
"14-Mar-2019","15749.67"
"15-Mar-2019","15867.74"
"18-Mar-2019","15916.8"
"19-Mar-2019","16014.33"
"20-Mar-2019","15998.51"
"22-Mar-2019","15912.88"
"25-Mar-2019","15770.26"
"26-Mar-2019","15949.46"
"27-Mar-2019","15897.65"
"28-Mar-2019","16071.26"
"29-Mar-2019","16146.11"
"01-Apr-2019","16208.94"
"02-Apr-2019","16270.13"
"03-Apr-2019","16173.92"
"04-Apr-2019","16110.09"
"05-Apr-2019","16204.48"
"08-Apr-2019","16119.14"
"09-Apr-2019","16212.81"
"10-Apr-2019","16091.08"
"11-Apr-2019","16108.32"
"12-Apr-2019","16173.27"
"15-Apr-2019","16238.41"
"16-Apr-2019","16372.86"
"18-Apr-2019","16325.13"
"22-Apr-2019","16105.19"
"23-Apr-2019","16079.51"
"24-Apr-2019","16288.16"
"25-Apr-2019","16170.98"
"26-Apr-2019","16327.7"
"30-Apr-2019","16318.66"
"02-May-2019","16286.18"
"03-May-2019","16268.79"
"06-May-2019","16110.44"
"07-May-2019","15974.41"
"08-May-2019","15782.09"
"09-May-2019","15701.95"
"10-May-2019","15670.18"
"13-May-2019","15488.6"
"14-May-2019","15591.19"
"15-May-2019","15500.82"
"16-May-2019","15640.22"
"17-May-2019","15848.71"
"20-May-2019","16433.77"
"21-May-2019","16268.26"
"22-May-2019","16325.28"
"23-May-2019","16212.78"
"24-May-2019","16472.95"
"27-May-2019","16585.13"
"28-May-2019","16591.7"
"29-May-2019","16497.62"
"30-May-2019","16615.59"
"31-May-2019","16583.46"
"03-Jun-2019","16815.25"
"04-Jun-2019","16728.74"
"06-Jun-2019","16481.14"
"07-Jun-2019","16518.62"
"10-Jun-2019","16590.99"
"11-Jun-2019","16650.75"
"12-Jun-2019","16568.09"
"13-Jun-2019","16593.97"
"14-Jun-2019","16467.55"
"17-Jun-2019","16257.06"
"18-Jun-2019","16283.98"
"19-Jun-2019","16283.94"
"20-Jun-2019","16493.65"
"21-Jun-2019","16343.59"
"24-Jun-2019","16309.52"
"25-Jun-2019","16444.46"
"26-Jun-2019","16515.68"
"27-Jun-2019","16507.34"
"28-Jun-2019","16433.85"
"01-Jul-2019","16540.88"
"02-Jul-2019","16603.17"
"03-Jul-2019","16612.16"
"04-Jul-2019","16658.04"
"05-Jul-2019","16468.99"
"08-Jul-2019","16118.27"
"09-Jul-2019","16114.46"
"10-Jul-2019","16035.44"
"11-Jul-2019","16155.78"
"12-Jul-2019","16113.75"
"15-Jul-2019","16165.28"
"16-Jul-2019","16272.08"
"17-Jul-2019","16306.82"
"18-Jul-2019","16183.16"
"19-Jul-2019","15945.55"
"22-Jul-2019","15845.74"
"23-Jul-2019","15824.55"
"24-Jul-2019","15749.37"
"25-Jul-2019","15725.6"
"26-Jul-2019","15770.63"
"29-Jul-2019","15638.42"
"30-Jul-2019","15493.33"
"31-Jul-2019","15539.43"
"01-Aug-2019","15350.83"
"02-Aug-2019","15382.73"
"05-Aug-2019","15194.27"
"06-Aug-2019","15314.03"
"07-Aug-2019","15184.34"
"08-Aug-2019","15434.73"
"09-Aug-2019","15542.72"
"13-Aug-2019","15289.35"
"14-Aug-2019","15438.86"
"16-Aug-2019","15464.58"
"19-Aug-2019","15476.07"
"20-Aug-2019","15425.45"
"21-Aug-2019","15290.85"
"22-Aug-2019","15045.62"
"23-Aug-2019","15168.88"
"26-Aug-2019","15488.96"
"27-Aug-2019","15555.44"
"28-Aug-2019","15472.44"
"29-Aug-2019","15335.45"
"30-Aug-2019","15440.47"
"03-Sep-2019","15124.8"
"04-Sep-2019","15190.3"
"05-Sep-2019","15194.86"
"06-Sep-2019","15332.57"
"09-Sep-2019","15412.14"
"11-Sep-2019","15457.9"
"12-Sep-2019","15383.82"
"13-Sep-2019","15514.2"
"16-Sep-2019","15412.83"
"17-Sep-2019","15152.39"
"18-Sep-2019","15184.69"
"19-Sep-2019","14994.39"
"20-Sep-2019","15791.99"
"23-Sep-2019","16248.62"
"24-Sep-2019","16231.83"
"25-Sep-2019","16024.49"
"26-Sep-2019","16207.96"
"27-Sep-2019","16125.65"
"30-Sep-2019","16072.5"
"01-Oct-2019","15912.03"
"03-Oct-2019","15847.7"
"04-Oct-2019","15652.7"
"07-Oct-2019","15584.94"
"09-Oct-2019","15846.77"
"10-Oct-2019","15736.44"
"11-Oct-2019","15835.17"
"14-Oct-2019","15885.74"
"15-Oct-2019","16007.83"
"16-Oct-2019","16057.85"
"17-Oct-2019","16245.31"
"18-Oct-2019","16351.16"
"22-Oct-2019","16248.11"
"23-Oct-2019","16282.84"
"24-Oct-2019","16252.63"
"25-Oct-2019","16254.45"
"27-Oct-2019","16315.17"
"29-Oct-2019","16539.23"
"30-Oct-2019","16620.07"
"31-Oct-2019","16667.29"
"01-Nov-2019","16685.73"
"04-Nov-2019","16756.87"
"05-Nov-2019","16723.06"
"06-Nov-2019","16791.61"
"07-Nov-2019","16856.17"
"08-Nov-2019","16710.37"
"11-Nov-2019","16717.75"
"13-Nov-2019","16615.37"
"14-Nov-2019","16659.78"
"15-Nov-2019","16692.52"
"18-Nov-2019","16677.14"
"19-Nov-2019","16755.15"
