"Date","Total Returns Index"
"03-Jan-2011","7727.31"
"04-Jan-2011","7713.22"
"05-Jan-2011","7629.67"
"06-Jan-2011","7590.1"
"07-Jan-2011","7409.81"
"10-Jan-2011","7231.93"
"11-Jan-2011","7220.95"
"12-Jan-2011","7357.95"
"13-Jan-2011","7218.21"
"14-Jan-2011","7096.04"
"17-Jan-2011","7096.3"
"18-Jan-2011","7183.71"
"19-Jan-2011","7142.3"
"20-Jan-2011","7168.11"
"21-Jan-2011","7149.19"
"24-Jan-2011","7207.96"
"25-Jan-2011","7137.87"
"27-Jan-2011","7034.29"
"28-Jan-2011","6918.59"
"31-Jan-2011","6910.76"
"01-Feb-2011","6799.42"
"02-Feb-2011","6817.99"
"03-Feb-2011","6936.95"
"04-Feb-2011","6773.79"
"07-Feb-2011","6774.07"
"08-Feb-2011","6669.45"
"09-Feb-2011","6595.38"
"10-Feb-2011","6560.54"
"11-Feb-2011","6666.91"
"14-Feb-2011","6850.18"
"15-Feb-2011","6881.62"
"16-Feb-2011","6882.48"
"17-Feb-2011","6963.79"
"18-Feb-2011","6853.93"
"21-Feb-2011","6928.8"
"22-Feb-2011","6866.76"
"23-Feb-2011","6826.81"
"24-Feb-2011","6607.55"
"25-Feb-2011","6658.78"
"28-Feb-2011","6696.09"
"01-Mar-2011","6933.43"
"03-Mar-2011","6950.94"
"04-Mar-2011","6954.14"
"07-Mar-2011","6859.22"
"08-Mar-2011","6931.56"
"09-Mar-2011","6944.39"
"10-Mar-2011","6898.4"
"11-Mar-2011","6836.95"
"14-Mar-2011","6945.55"
"15-Mar-2011","6842.78"
"16-Mar-2011","6919.99"
"17-Mar-2011","6840.27"
"18-Mar-2011","6749.34"
"21-Mar-2011","6738.1"
"22-Mar-2011","6799.8"
"23-Mar-2011","6883.21"
"24-Mar-2011","6936.12"
"25-Mar-2011","7101.72"
"28-Mar-2011","7143.2"
"29-Mar-2011","7205.54"
"30-Mar-2011","7269.95"
"31-Mar-2011","7327.83"
"01-Apr-2011","7318.19"
"04-Apr-2011","7421.7"
"05-Apr-2011","7423.72"
"06-Apr-2011","7400.7"
"07-Apr-2011","7393.11"
"08-Apr-2011","7338.25"
"11-Apr-2011","7267.5"
"13-Apr-2011","7425.52"
"15-Apr-2011","7316.33"
"18-Apr-2011","7196.4"
"19-Apr-2011","7211.02"
"20-Apr-2011","7352.62"
"21-Apr-2011","7394.15"
"25-Apr-2011","7381.47"
"26-Apr-2011","7373.82"
"27-Apr-2011","7330.46"
"28-Apr-2011","7269.68"
"29-Apr-2011","7224.51"
"02-May-2011","7163.96"
"03-May-2011","6992.97"
"04-May-2011","6957.66"
"05-May-2011","6864.99"
"06-May-2011","6980.18"
"09-May-2011","6979.72"
"10-May-2011","6967.35"
"11-May-2011","6997.25"
"12-May-2011","6898.01"
"13-May-2011","6971.75"
"16-May-2011","6914.17"
"17-May-2011","6838.67"
"18-May-2011","6815.62"
"19-May-2011","6825.06"
"20-May-2011","6900.9"
"23-May-2011","6775.36"
"24-May-2011","6785.81"
"25-May-2011","6728.08"
"26-May-2011","6811.1"
"27-May-2011","6891.28"
"30-May-2011","6887.52"
"31-May-2011","6997.07"
"01-Jun-2011","7037.13"
"02-Jun-2011","6992.05"
