"Date","Total Returns Index"
"01-Jan-2001","1344.14"
"02-Jan-2001","1362.89"
"03-Jan-2001","1383.8"
"04-Jan-2001","1401.37"
"05-Jan-2001","1422.38"
"08-Jan-2001","1403.09"
"09-Jan-2001","1405.66"
"10-Jan-2001","1379.56"
"11-Jan-2001","1372.17"
"12-Jan-2001","1378.97"
"15-Jan-2001","1378.97"
"16-Jan-2001","1385.73"
"17-Jan-2001","1390.92"
"18-Jan-2001","1399.55"
"19-Jan-2001","1424.36"
"22-Jan-2001","1444.61"
"23-Jan-2001","1452.33"
"24-Jan-2001","1463.85"
"25-Jan-2001","1468.3"
"29-Jan-2001","1438.24"
"30-Jan-2001","1478.59"
"31-Jan-2001","1470.01"
"01-Feb-2001","1456.56"
"02-Feb-2001","1477.68"
"05-Feb-2001","1481.69"
"06-Feb-2001","1486.52"
"07-Feb-2001","1469.05"
"08-Feb-2001","1495.52"
"09-Feb-2001","1506.45"
"12-Feb-2001","1502.7"
"13-Feb-2001","1490.91"
"14-Feb-2001","1493.21"
"15-Feb-2001","1518.24"
"16-Feb-2001","1480.35"
"19-Feb-2001","1484.05"
"20-Feb-2001","1483.03"
"21-Feb-2001","1468.3"
"22-Feb-2001","1452.22"
"23-Feb-2001","1415.09"
"26-Feb-2001","1406.46"
"27-Feb-2001","1388.41"
"28-Feb-2001","1448.26"
"01-Mar-2001","1455.38"
"02-Mar-2001","1399.98"
"05-Mar-2001","1362.58"
"07-Mar-2001","1382.99"
"08-Mar-2001","1385.51"
"09-Mar-2001","1344.68"
"12-Mar-2001","1283.81"
"13-Mar-2001","1205.31"
"14-Mar-2001","1279.79"
"15-Mar-2001","1304.39"
"16-Mar-2001","1279.09"
"19-Mar-2001","1271.75"
"20-Mar-2001","1254.87"
"21-Mar-2001","1293.62"
"22-Mar-2001","1272.66"
"23-Mar-2001","1244.53"
"26-Mar-2001","1244.75"
"27-Mar-2001","1262.16"
"28-Mar-2001","1292.65"
"29-Mar-2001","1280.76"
"30-Mar-2001","1230.49"
"02-Apr-2001","1219.67"
"03-Apr-2001","1231.62"
"04-Apr-2001","1219.77"
"06-Apr-2001","1222.94"
"09-Apr-2001","1210.86"
"10-Apr-2001","1183.71"
"11-Apr-2001","1144.81"
"12-Apr-2001","1099.85"
"16-Apr-2001","1120.99"
"17-Apr-2001","1145.03"
"18-Apr-2001","1184.09"
"19-Apr-2001","1228.14"
"20-Apr-2001","1227.66"
"23-Apr-2001","1233.83"
"24-Apr-2001","1230.13"
"25-Apr-2001","1240.02"
"26-Apr-2001","1227.57"
"27-Apr-2001","1182.01"
"30-Apr-2001","1207.72"
"02-May-2001","1220.85"
"03-May-2001","1204.58"
"04-May-2001","1213.17"
"07-May-2001","1223"
"08-May-2001","1233.46"
"09-May-2001","1234.02"
"10-May-2001","1229.4"
"11-May-2001","1224.63"
"14-May-2001","1224.95"
"15-May-2001","1229.78"
"16-May-2001","1236.14"
"17-May-2001","1261.7"
"18-May-2001","1259.39"
"21-May-2001","1255.79"
"22-May-2001","1254.34"
"23-May-2001","1267.81"
"24-May-2001","1270.77"
"25-May-2001","1263.3"
"28-May-2001","1282.97"
"29-May-2001","1288.62"
"30-May-2001","1266.96"
"31-May-2001","1256.58"
"01-Jun-2001","1235.22"
"04-Jun-2001","1212.79"
"05-Jun-2001","1200.31"
"06-Jun-2001","1200.42"
"07-Jun-2001","1196.81"
"08-Jun-2001","1212.14"
"11-Jun-2001","1216.98"
"12-Jun-2001","1212.73"
"13-Jun-2001","1215.82"
"14-Jun-2001","1198.32"
"15-Jun-2001","1171.4"
"18-Jun-2001","1161.22"
"19-Jun-2001","1180.98"
"20-Jun-2001","1182.7"
"21-Jun-2001","1180.11"
"22-Jun-2001","1171.98"
"25-Jun-2001","1149.73"
"26-Jun-2001","1181.62"
"27-Jun-2001","1181.08"
"28-Jun-2001","1178.82"
"29-Jun-2001","1193.8"
"02-Jul-2001","1187.42"
"03-Jul-2001","1154.04"
"04-Jul-2001","1152.35"
"05-Jul-2001","1154.35"
"06-Jul-2001","1150.26"
"09-Jul-2001","1144.6"
"10-Jul-2001","1158.15"
