"Date","Total Returns Index"
"26-Oct-2017","14110.5"
"27-Oct-2017","14082.21"
"30-Oct-2017","14137.62"
"31-Oct-2017","14108.55"
"01-Nov-2017","14255.58"
"02-Nov-2017","14232.79"
"03-Nov-2017","14274.97"
"06-Nov-2017","14274.03"
"07-Nov-2017","14135.23"
"08-Nov-2017","14071.02"
"09-Nov-2017","14078.98"
"10-Nov-2017","14096.45"
"13-Nov-2017","13964.26"
"14-Nov-2017","13911.87"
"15-Nov-2017","13818.25"
"16-Nov-2017","13950.33"
"17-Nov-2017","14044.32"
"20-Nov-2017","14065.05"
"21-Nov-2017","14103.64"
"22-Nov-2017","14124.68"
"23-Nov-2017","14133.47"
"24-Nov-2017","14189.41"
"27-Nov-2017","14202.82"
"28-Nov-2017","14162.79"
"29-Nov-2017","14150.6"
"30-Nov-2017","13966.58"
"01-Dec-2017","13823.52"
"04-Dec-2017","13831.66"
"05-Dec-2017","13818.67"
"06-Dec-2017","13717.36"
"07-Dec-2017","13884.82"
"08-Dec-2017","14019.95"
"11-Dec-2017","14097.29"
"12-Dec-2017","13985.11"
"13-Dec-2017","13920.69"
"14-Dec-2017","14001.49"
"15-Dec-2017","14112.3"
"18-Dec-2017","14188.11"
"19-Dec-2017","14289.76"
"20-Dec-2017","14263.81"
"21-Dec-2017","14258.49"
"22-Dec-2017","14330.49"
"26-Dec-2017","14383.04"
"27-Dec-2017","14327.42"
"28-Dec-2017","14309.85"
"29-Dec-2017","14381.92"
