"Date","Total Returns Index"
"01-Jan-2009","3727.18"
"02-Jan-2009","3743.48"
"05-Jan-2009","3835.29"
"06-Jan-2009","3824.63"
"07-Jan-2009","3588.27"
"09-Jan-2009","3530"
"12-Jan-2009","3407.29"
"13-Jan-2009","3372.7"
"14-Jan-2009","3483.84"
"15-Jan-2009","3362.74"
"16-Jan-2009","3475.45"
"19-Jan-2009","3497.27"
"20-Jan-2009","3436.31"
"21-Jan-2009","3325.17"
"22-Jan-2009","3334.55"
"23-Jan-2009","3291.24"
"27-Jan-2009","3405.28"
"28-Jan-2009","3502.03"
"29-Jan-2009","3474.27"
"30-Jan-2009","3538.57"
"02-Feb-2009","3405.45"
"03-Feb-2009","3426.68"
"04-Feb-2009","3450.6"
"05-Feb-2009","3422.28"
"06-Feb-2009","3499.89"
"09-Feb-2009","3594.44"
"10-Feb-2009","3612.41"
"11-Feb-2009","3601.57"
"12-Feb-2009","3561.72"
"13-Feb-2009","3629.83"
"16-Feb-2009","3506.9"
"17-Feb-2009","3411.56"
"18-Feb-2009","3418.72"
"19-Feb-2009","3435.02"
"20-Feb-2009","3369.86"
"24-Feb-2009","3366.73"
"25-Feb-2009","3401.93"
"26-Feb-2009","3430.46"
"27-Feb-2009","3403.33"
"02-Mar-2009","3293.68"
"03-Mar-2009","3229.43"
"04-Mar-2009","3257.46"
"05-Mar-2009","3173.11"
"06-Mar-2009","3226.63"
"09-Mar-2009","3168.76"
"12-Mar-2009","3223.3"
"13-Mar-2009","3348.7"
"16-Mar-2009","3420.13"
"17-Mar-2009","3395.69"
"18-Mar-2009","3441.57"
"19-Mar-2009","3456.95"
"20-Mar-2009","3456.79"
"23-Mar-2009","3620.38"
"24-Mar-2009","3619.2"
"25-Mar-2009","3675.43"
"26-Mar-2009","3796.04"
"27-Mar-2009","3828.51"
"30-Mar-2009","3667.79"
"31-Mar-2009","3720.51"
"01-Apr-2009","3769.02"
"02-Apr-2009","3954.66"
"06-Apr-2009","4010.72"
"08-Apr-2009","4117.08"
"09-Apr-2009","4115.95"
"13-Apr-2009","4165.93"
"15-Apr-2009","4290.96"
"16-Apr-2009","4149.81"
"17-Apr-2009","4168.14"
"20-Apr-2009","4159.13"
"21-Apr-2009","4144.6"
"22-Apr-2009","4101.5"
"23-Apr-2009","4216.52"
"24-Apr-2009","4286.93"
"27-Apr-2009","4273.67"
"28-Apr-2009","4141.09"
"29-Apr-2009","4278.54"
"04-May-2009","4500.26"
"05-May-2009","4510.02"
"06-May-2009","4464.63"
"07-May-2009","4537.12"
"08-May-2009","4459.27"
"11-May-2009","4377.93"
"12-May-2009","4533.71"
"13-May-2009","4477.25"
"14-May-2009","4426.36"
"15-May-2009","4522.65"
"18-May-2009","5325.19"
"19-May-2009","5319.42"
"20-May-2009","5260.08"
"21-May-2009","5186.89"
"22-May-2009","5220.91"
"25-May-2009","5219.76"
"26-May-2009","5070.9"
"27-May-2009","5267.14"
"28-May-2009","5342.36"
"29-May-2009","5480.11"
"01-Jun-2009","5579.85"
"02-Jun-2009","5574.12"
"03-Jun-2009","5580.81"
"04-Jun-2009","5634.78"
"05-Jun-2009","5652.34"
"08-Jun-2009","5458.86"
"09-Jun-2009","5608.04"
"10-Jun-2009","5739.53"
"11-Jun-2009","5719.84"
"12-Jun-2009","5654.27"
"15-Jun-2009","5531.62"
"16-Jun-2009","5574.9"
"17-Jun-2009","5375.47"
"18-Jun-2009","5246.17"
"19-Jun-2009","5322.95"
"22-Jun-2009","5226.95"
"23-Jun-2009","5241.45"
"24-Jun-2009","5298.16"
"25-Jun-2009","5235.08"
"26-Jun-2009","5400.02"
"29-Jun-2009","5419.52"
"30-Jun-2009","5296.58"
"01-Jul-2009","5358.01"
"02-Jul-2009","5368.2"
"03-Jul-2009","5461.26"
"06-Jul-2009","5147.4"
"07-Jul-2009","5192.48"
"08-Jul-2009","5040.16"
"09-Jul-2009","5043.45"
"10-Jul-2009","4948.21"
"13-Jul-2009","4914.79"
"14-Jul-2009","5085.26"
"15-Jul-2009","5236.32"
"16-Jul-2009","5233.7"
"17-Jul-2009","5411.29"
"20-Jul-2009","5568.72"
