"Date","Total Returns Index"
"02-Jan-2004","2215.94"
"05-Jan-2004","2226.13"
"06-Jan-2004","2193.92"
"07-Jan-2004","2182.56"
"08-Jan-2004","2241.57"
"09-Jan-2004","2245.39"
"12-Jan-2004","2215.43"
"13-Jan-2004","2236.94"
"14-Jan-2004","2258.09"
"15-Jan-2004","2215.1"
"16-Jan-2004","2165.22"
"19-Jan-2004","2204.87"
"20-Jan-2004","2156.9"
"21-Jan-2004","2078.71"
"22-Jan-2004","2017.62"
"23-Jan-2004","2105.45"
"27-Jan-2004","2170.56"
"28-Jan-2004","2123.13"
"29-Jan-2004","2100.96"
"30-Jan-2004","2062.42"
"03-Feb-2004","2015.97"
"04-Feb-2004","2076.77"
"05-Feb-2004","2056.6"
"06-Feb-2004","2089.8"
"09-Feb-2004","2143.42"
"10-Feb-2004","2143.51"
"11-Feb-2004","2155.73"
"12-Feb-2004","2149.07"
"13-Feb-2004","2181.36"
"16-Feb-2004","2181.26"
"17-Feb-2004","2188.72"
"18-Feb-2004","2184.58"
"19-Feb-2004","2118.28"
"20-Feb-2004","2111.83"
"23-Feb-2004","2061.16"
"24-Feb-2004","2076.18"
"25-Feb-2004","2037.01"
"26-Feb-2004","2013.04"
"27-Feb-2004","2052.4"
"01-Mar-2004","2112.12"
"03-Mar-2004","2120.89"
"04-Mar-2004","2102.02"
"05-Mar-2004","2129.21"
"08-Mar-2004","2149.26"
"09-Mar-2004","2127.38"
"10-Mar-2004","2102.64"
"11-Mar-2004","2058.24"
"12-Mar-2004","2065.94"
"15-Mar-2004","2010.32"
"16-Mar-2004","1994.52"
"17-Mar-2004","1995.06"
"18-Mar-2004","1957.21"
"19-Mar-2004","1966.88"
"22-Mar-2004","1921.15"
"23-Mar-2004","1934.15"
"24-Mar-2004","1929.23"
"25-Mar-2004","1943.31"
"26-Mar-2004","1992.43"
"29-Mar-2004","2009.01"
"30-Mar-2004","1995.43"
"31-Mar-2004","2020.25"
"01-Apr-2004","2074.68"
"02-Apr-2004","2099.15"
"05-Apr-2004","2116.81"
"06-Apr-2004","2110.61"
"07-Apr-2004","2107.77"
"08-Apr-2004","2113.34"
"12-Apr-2004","2095.94"
"13-Apr-2004","2141.82"
"15-Apr-2004","2123"
"16-Apr-2004","2130.97"
"17-Apr-2004","2130.01"
"19-Apr-2004","2102.56"
"20-Apr-2004","2102.84"
"21-Apr-2004","2136.02"
"22-Apr-2004","2154.65"
"23-Apr-2004","2157.95"
"27-Apr-2004","2072.19"
"28-Apr-2004","2071.39"
