"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"EICHERMOT","02-May-2016","26-May-2016","20107.85","20275","19921.05","19992.15","20038","19992.15","2161","10850.6","167950","2275","      19854.35"
"EICHERMOT","02-May-2016","30-Jun-2016","20164.5","20320","20100","20149.85","20149.85","20091","8","40.4","725","175","      19854.35"
"EICHERMOT","02-May-2016","28-Jul-2016","0","0","0","20665.7","0","20204.3","0","0","0","0","      19854.35"
"EICHERMOT","03-May-2016","26-May-2016","20010.75","20410","19933.05","20088.25","20102","20088.25","2188","11031.63","167575","-375","      19981.50"
"EICHERMOT","03-May-2016","30-Jun-2016","20295.05","20463.55","20200","20248.8","20248.8","20216.25","12","60.84","975","250","      19981.50"
"EICHERMOT","03-May-2016","28-Jul-2016","0","0","0","20665.7","0","20330.55","0","0","0","0","      19981.50"
"EICHERMOT","04-May-2016","26-May-2016","20034.05","20195","19690.5","19845.45","19775.2","19845.45","2131","10603.41","168675","1100","      19760.85"
"EICHERMOT","04-May-2016","30-Jun-2016","20071.35","20134.05","19900","19958","19900","19958","25","124.83","1350","375","      19760.85"
"EICHERMOT","04-May-2016","28-Jul-2016","0","0","0","20665.7","0","20102.95","0","0","0","0","      19760.85"
"EICHERMOT","05-May-2016","26-May-2016","19893.2","20118.5","19261","19794.2","19855","19794.2","13357","65923.09","177900","9225","      19686.65"
"EICHERMOT","05-May-2016","30-Jun-2016","20100","20100","19400","19981.6","20000","19981.6","81","400.51","1925","575","      19686.65"
"EICHERMOT","05-May-2016","28-Jul-2016","0","0","0","20665.7","0","20021.6","0","0","0","0","      19686.65"
"EICHERMOT","06-May-2016","26-May-2016","19833.9","20469.75","19673.7","20336.55","20375","20336.55","5825","29346.57","177925","25","      20215.90"
"EICHERMOT","06-May-2016","30-Jun-2016","19857.45","20505.25","19850","20425.25","20400.9","20425.25","51","258.55","2000","75","      20215.90"
"EICHERMOT","06-May-2016","28-Jul-2016","0","0","0","20665.7","0","20554.75","0","0","0","0","      20215.90"
"EICHERMOT","09-May-2016","26-May-2016","20470","20621.95","20380.1","20577.5","20600","20577.5","2161","11086.83","181075","3150","      20483.25"
"EICHERMOT","09-May-2016","30-Jun-2016","20499.8","20700","20493.55","20662.5","20650","20662.5","21","108.2","2075","75","      20483.25"
"EICHERMOT","09-May-2016","28-Jul-2016","0","0","0","20665.7","0","20813.65","0","0","0","0","      20483.25"
"EICHERMOT","10-May-2016","26-May-2016","20540.05","20559.7","20186","20350.05","20345","20350.05","2104","10700.47","189475","8400","      20239.20"
"EICHERMOT","10-May-2016","30-Jun-2016","20575.05","20581.55","20285.55","20460","20460","20446.7","25","127.78","2150","75","      20239.20"
"EICHERMOT","10-May-2016","28-Jul-2016","0","0","0","20665.7","0","20561.55","0","0","0","0","      20239.20"
"EICHERMOT","11-May-2016","26-May-2016","20132.4","20262.95","19970","20074","20091","20074","1792","9016.75","184775","-4700","      19976.85"
"EICHERMOT","11-May-2016","30-Jun-2016","20170","20360.6","20100.05","20157.65","20104.45","20157.65","36","182.07","2325","175","      19976.85"
"EICHERMOT","11-May-2016","28-Jul-2016","0","0","0","20665.7","0","20290.95","0","0","0","0","      19976.85"
"EICHERMOT","12-May-2016","26-May-2016","20022.55","20320","19710.15","19753.1","19735","19753.1","4690","23467.71","212700","27925","      19753.05"
"EICHERMOT","12-May-2016","30-Jun-2016","20350","20428.95","19879.3","19890.45","19901.55","19890.45","110","555.4","3550","1225","      19753.05"
"EICHERMOT","12-May-2016","28-Jul-2016","0","0","0","20665.7","0","20060.9","0","0","0","0","      19753.05"
"EICHERMOT","13-May-2016","26-May-2016","19199.7","19608.95","18857.5","19056.3","19040","19056.3","14375","68683.56","251400","38700","      18992.80"
"EICHERMOT","13-May-2016","30-Jun-2016","19666.55","19678.3","18842.4","19172.85","19120","19172.85","208","999.08","5250","1700","      18992.80"
"EICHERMOT","13-May-2016","28-Jul-2016","0","0","0","20665.7","0","19284.9","0","0","0","0","      18992.80"
"EICHERMOT","16-May-2016","26-May-2016","19149.95","19248.65","18902.85","19143.4","19115","19143.4","2235","10660.36","249625","-1775","      19063.15"
