"Date ","Open ","High ","Low ","Close ","Prev. Close ","Change ","% Change"
"01-Jan-2013","       14.9500","       14.9500","       13.6400","       13.6900","       14.9500","       -1.2600","  -8.43"
"02-Jan-2013","       13.6900","       13.9100","       12.9900","       13.7100","       13.6900","        0.0200","   0.15"
"03-Jan-2013","       13.7100","       13.9400","       13.2200","       13.4700","       13.7100","       -0.2400","  -1.75"
"04-Jan-2013","       13.4700","       13.6300","       13.2800","       13.3700","       13.4700","       -0.1000","  -0.74"
"07-Jan-2013","       13.3700","       14.0400","       13.3700","       13.9200","       13.3700","        0.5500","   4.11"
"08-Jan-2013","       13.9200","       14.0600","       13.2100","       13.2700","       13.9200","       -0.6500","  -4.67"
"09-Jan-2013","       13.2700","       13.5600","       12.5800","       13.3200","       13.2700","        0.0500","   0.38"
"10-Jan-2013","       13.3200","       13.6300","       12.8500","       13.2700","       13.3200","       -0.0500","  -0.38"
"11-Jan-2013","       13.2700","       13.3500","       12.8300","       13.2300","       13.2700","       -0.0400","  -0.30"
"14-Jan-2013","       13.2300","       14.0200","       13.2200","       13.7000","       13.2300","        0.4700","   3.55"
"15-Jan-2013","       13.7000","       14.0000","       13.3400","       13.5800","       13.7000","       -0.1200","  -0.88"
"16-Jan-2013","       13.5800","       14.1400","       13.0600","       13.9900","       13.5800","        0.4100","   3.02"
"17-Jan-2013","       13.9900","       14.2500","       13.6600","       14.0100","       13.9900","        0.0200","   0.14"
"18-Jan-2013","       14.0100","       14.2600","       13.2500","       13.8900","       14.0100","       -0.1200","  -0.86"
"21-Jan-2013","       13.8900","       14.3900","       13.6300","       13.6600","       13.8900","       -0.2300","  -1.66"
"22-Jan-2013","       13.6600","       14.0600","       12.9000","       13.8900","       13.6600","        0.2300","   1.68"
"23-Jan-2013","       13.8900","       14.2800","       13.1300","       13.6700","       13.8900","       -0.2200","  -1.58"
"24-Jan-2013","       13.6700","       14.5500","       12.8400","       14.4600","       13.6700","        0.7900","   5.78"
"25-Jan-2013","       14.4600","       14.9800","       14.3200","       14.7700","       14.4600","        0.3100","   2.14"
"28-Jan-2013","       14.7700","       15.4900","       14.4100","       15.1700","       14.7700","        0.4000","   2.71"
"29-Jan-2013","       15.1700","       15.2800","       14.2800","       14.4700","       15.1700","       -0.7000","  -4.61"
"30-Jan-2013","       14.4700","       14.6800","       14.0500","       14.3800","       14.4700","       -0.0900","  -0.62"
"31-Jan-2013","       14.3800","       14.5400","       13.6500","       14.1300","       14.3800","       -0.2500","  -1.74"
"01-Feb-2013","       14.1300","       14.1800","       13.7600","       13.7600","       14.1300","       -0.3700","  -2.62"
"04-Feb-2013","       13.7600","       14.6200","       13.5100","       14.3400","       13.7600","        0.5800","   4.22"
"05-Feb-2013","       14.3400","       14.8300","       14.1100","       14.6100","       14.3400","        0.2700","   1.88"
