"Date ","Open ","High ","Low ","Close ","Prev. Close ","Change ","% Change"
"02-Jan-2017","       15.4650","       16.3750","       14.6400","       15.8300","       15.4650","        0.3700","   2.36"
"03-Jan-2017","       15.8300","       16.4175","       14.9025","       15.9575","       15.8300","        0.1300","   0.81"
"04-Jan-2017","       15.9575","       16.1000","       14.8975","       15.8900","       15.9575","       -0.0700","  -0.42"
"05-Jan-2017","       15.8900","       15.8900","       14.4475","       15.0500","       15.8900","       -0.8400","  -5.29"
"06-Jan-2017","       15.0500","       15.0875","       13.9225","       14.9125","       15.0500","       -0.1400","  -0.91"
"09-Jan-2017","       14.9125","       15.6350","       13.8200","       15.4800","       14.9125","        0.5700","   3.81"
"10-Jan-2017","       15.4800","       15.4800","       14.0250","       15.1950","       15.4800","       -0.2900","  -1.84"
"11-Jan-2017","       15.1950","       15.1950","       13.5375","       14.8075","       15.1950","       -0.3900","  -2.55"
"12-Jan-2017","       14.8075","       14.8650","       13.4625","       14.6125","       14.8075","       -0.2000","  -1.32"
"13-Jan-2017","       14.6125","       14.6525","       13.3750","       14.3825","       14.6125","       -0.2300","  -1.57"
"16-Jan-2017","       14.3825","       15.2500","       13.4250","       15.0650","       14.3825","        0.6800","   4.75"
"17-Jan-2017","       15.0650","       15.6200","       13.9800","       15.3925","       15.0650","        0.3300","   2.17"
"18-Jan-2017","       15.3925","       15.3925","       13.6125","       15.1825","       15.3925","       -0.2100","  -1.36"
"19-Jan-2017","       15.1825","       15.2775","       14.0350","       15.0200","       15.1825","       -0.1600","  -1.07"
"20-Jan-2017","       15.0200","       15.8675","       13.8525","       15.7900","       15.0200","        0.7700","   5.13"
"23-Jan-2017","       15.7900","       16.3725","       15.5025","       15.9050","       15.7900","        0.1200","   0.73"
"24-Jan-2017","       15.9050","       15.9600","       14.3875","       15.2850","       15.9050","       -0.6200","  -3.90"
"25-Jan-2017","       15.2850","       15.4250","       14.4100","       15.1700","       15.2850","       -0.1200","  -0.75"
"27-Jan-2017","       15.1700","       16.1250","       14.9300","       16.0050","       15.1700","        0.8400","   5.50"
"30-Jan-2017","       16.0050","       16.8575","       15.3925","       16.6700","       16.0050","        0.6700","   4.15"
"31-Jan-2017","       16.6700","       17.0900","       15.7125","       16.8250","       16.6700","        0.1600","   0.93"
"01-Feb-2017","       16.8250","       17.4275","       13.8025","       13.9700","       16.8250","       -2.8600"," -16.97"
"02-Feb-2017","       13.9700","       13.9700","       12.6400","       13.5200","       13.9700","       -0.4500","  -3.22"
"03-Feb-2017","       13.5200","       13.5950","       11.7825","       13.1275","       13.5200","       -0.3900","  -2.90"
"06-Feb-2017","       13.1275","       13.6125","       11.0600","       13.3975","       13.1275","        0.2700","   2.06"
"07-Feb-2017","       13.3975","       13.7225","       12.2400","       13.5075","       13.3975","        0.1100","   0.82"
"08-Feb-2017","       13.5075","       13.7575","       11.4350","       13.3500","       13.5075","       -0.1600","  -1.17"
"09-Feb-2017","       13.3500","       13.7800","       11.3950","       13.2350","       13.3500","       -0.1200","  -0.86"
"10-Feb-2017","       13.2350","       13.3325","       11.3700","       13.1775","       13.2350","       -0.0600","  -0.43"
"13-Feb-2017","       13.1775","       13.7600","       11.5700","       13.6925","       13.1775","        0.5200","   3.91"
"14-Feb-2017","       13.6925","       14.0100","       12.0975","       13.8025","       13.6925","        0.1100","   0.80"
"15-Feb-2017","       13.8025","       14.4600","       11.7275","       14.2125","       13.8025","        0.4100","   2.97"
"16-Feb-2017","       14.2125","       14.2125","       11.4375","       13.7300","       14.2125","       -0.4800","  -3.39"
"17-Feb-2017","       13.7300","       13.7725","       12.4675","       13.4325","       13.7300","       -0.3000","  -2.17"
"20-Feb-2017","       13.4325","       13.8475","       12.4125","       13.6100","       13.4325","        0.1800","   1.32"
"21-Feb-2017","       13.6100","       14.2825","       11.8925","       13.5250","       13.6100","       -0.0900","  -0.62"
