"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"12-Oct-1990","        0.00","        0.00","        0.00","      429.29","-","-"
"15-Oct-1990","        0.00","        0.00","        0.00","      398.92","-","-"
"18-Oct-1990","        0.00","        0.00","        0.00","      405.72","-","-"
"22-Oct-1990","        0.00","        0.00","        0.00","      383.75","-","-"
"25-Oct-1990","        0.00","        0.00","        0.00","      404.15","-","-"
"26-Oct-1990","        0.00","        0.00","        0.00","      397.04","-","-"
"31-Oct-1990","        0.00","        0.00","        0.00","      403.66","-","-"
"01-Nov-1990","        0.00","        0.00","        0.00","      412.90","-","-"
"05-Nov-1990","        0.00","        0.00","        0.00","      416.08","-","-"
"07-Nov-1990","        0.00","        0.00","        0.00","      428.21","-","-"
"08-Nov-1990","        0.00","        0.00","        0.00","      435.18","-","-"
"09-Nov-1990","        0.00","        0.00","        0.00","      430.25","-","-"
"12-Nov-1990","        0.00","        0.00","        0.00","      403.06","-","-"
"14-Nov-1990","        0.00","        0.00","        0.00","      405.70","-","-"
"16-Nov-1990","        0.00","        0.00","        0.00","      408.34","-","-"
"21-Nov-1990","        0.00","        0.00","        0.00","      391.83","-","-"
"22-Nov-1990","        0.00","        0.00","        0.00","      383.69","-","-"
"23-Nov-1990","        0.00","        0.00","        0.00","      399.67","-","-"
"26-Nov-1990","        0.00","        0.00","        0.00","      405.00","-","-"
"27-Nov-1990","        0.00","        0.00","        0.00","      393.78","-","-"
"29-Nov-1990","        0.00","        0.00","        0.00","      373.33","-","-"
"30-Nov-1990","        0.00","        0.00","        0.00","      367.69","-","-"
"03-Dec-1990","        0.00","        0.00","        0.00","      371.14","-","-"
"04-Dec-1990","        0.00","        0.00","        0.00","      359.86","-","-"
"05-Dec-1990","        0.00","        0.00","        0.00","      359.21","-","-"
"06-Dec-1990","        0.00","        0.00","        0.00","      363.06","-","-"
"10-Dec-1990","        0.00","        0.00","        0.00","      371.86","-","-"
"11-Dec-1990","        0.00","        0.00","        0.00","      368.22","-","-"
"12-Dec-1990","        0.00","        0.00","        0.00","      372.37","-","-"
"13-Dec-1990","        0.00","        0.00","        0.00","      378.88","-","-"
"14-Dec-1990","        0.00","        0.00","        0.00","      382.16","-","-"
"17-Dec-1990","        0.00","        0.00","        0.00","      367.42","-","-"
"18-Dec-1990","        0.00","        0.00","        0.00","      347.93","-","-"
"19-Dec-1990","        0.00","        0.00","        0.00","      333.33","-","-"
"21-Dec-1990","        0.00","        0.00","        0.00","      326.93","-","-"
"24-Dec-1990","        0.00","        0.00","        0.00","      330.86","-","-"
